Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,281,286,281,282,0.36,1926
3/13/2013,282,291,285,291,3.19,3119
3/14/2013,291,307,288,290,-0.34,10711
3/17/2013,290,290,277,282,-2.76,4322
3/18/2013,282,283,276,277,-1.77,5480
3/19/2013,277,284,275,279,0.72,6544
3/20/2013,279,280,274,274,-1.79,6419
3/21/2013,274,278,271,274,0,3890
3/24/2013,274,272,264,268,-2.19,3242
3/25/2013,268,277,267,275,2.61,8779
3/27/2013,275,274,266,274,-0.36,1038
3/28/2013,274,274,268,272,-0.73,3522
3/31/2013,272,269,261,264,-2.94,7492
4/1/2013,264,269,256,266,0.76,6902
4/2/2013,266,275,261,272,2.26,3988
4/3/2013,272,274,264,271,-0.37,1767
4/4/2013,271,271,266,271,0,1420
4/7/2013,271,273,268,270,-0.37,2884
4/8/2013,270,275,268,272,0.74,1774
4/9/2013,272,276,263,276,1.47,3432
4/11/2013,276,281,272,274,-0.72,4193
4/15/2013,274,278,272,272,-0.73,8009
4/16/2013,272,273,263,272,0,4394
4/17/2013,272,271,267,270,-0.74,2890
4/18/2013,270,270,266,268,-0.74,2792
4/21/2013,268,280,260,263,-1.87,6087
4/22/2013,263,269,255,266,1.14,7205
4/23/2013,266,272,268,268,0.75,1773
4/25/2013,268,270,263,265,-1.12,5663
4/28/2013,265,265,260,265,0,7507
4/29/2013,265,265,252,259,-2.26,5030
4/30/2013,259,263,259,260,0.39,1666
5/2/2013,260,258,250,255,-1.92,2354
5/5/2013,255,257,242,246,-3.53,1649
5/6/2013,246,248,240,247,0.41,2697
5/7/2013,247,265,249,259,4.86,4110
5/8/2013,259,255,255,255,-1.54,105
5/9/2013,255,254,245,249,-2.35,4486
5/12/2013,249,253,245,247,-0.8,2938
5/13/2013,247,259,248,259,4.86,480
5/14/2013,259,261,254,258,-0.39,2423
5/15/2013,258,268,260,260,0.78,1200
5/16/2013,260,261,256,261,0.38,1932
5/19/2013,261,264,252,257,-1.53,3890
5/20/2013,257,262,254,255,-0.78,1493
5/21/2013,255,254,250,253,-0.78,1895
5/22/2013,253,257,245,257,1.58,6993
5/23/2013,257,260,252,253,-1.56,3381
5/26/2013,253,262,252,252,-0.4,6968
5/27/2013,252,256,251,255,1.19,1926
5/28/2013,255,259,254,256,0.39,2506
5/30/2013,256,256,253,253,-1.17,1298
6/2/2013,253,252,247,252,-0.4,560
6/3/2013,252,252,250,251,-0.4,1530
6/4/2013,251,252,250,252,0.4,2336
6/5/2013,252,255,251,254,0.79,804
6/6/2013,254,255,251,255,0.39,736
6/9/2013,255,258,253,255,0,580
6/10/2013,255,253,250,252,-1.18,1698
6/11/2013,252,255,251,254,0.79,2585
6/12/2013,254,255,251,252,-0.79,2741
6/13/2013,252,254,248,254,0.79,2040
6/16/2013,254,255,250,252,-0.79,2879
6/17/2013,252,250,248,250,-0.79,2263
6/18/2013,250,255,245,246,-1.6,2986
6/19/2013,246,246,243,244,-0.81,1646
6/20/2013,244,254,245,246,0.82,3576
6/23/2013,246,245,243,245,-0.41,4038
6/24/2013,245,251,244,251,2.45,2066
6/25/2013,251,256,255,255,1.59,2227
6/26/2013,255,260,254,255,0,1999
6/27/2013,255,256,253,254,-0.39,1594
6/30/2013,254,256,247,249,-1.97,2133
7/1/2013,249,250,246,248,-0.4,762
7/2/2013,248,249,246,249,0.4,1839
7/3/2013,249,255,245,255,2.41,3849
7/4/2013,255,262,248,262,2.75,3171
7/7/2013,262,257,250,257,-1.91,2402
7/8/2013,257,260,253,260,1.17,2532
7/9/2013,260,264,259,260,0,3576
7/10/2013,260,268,258,268,3.08,2245
7/11/2013,268,268,260,260,-2.99,2936
7/14/2013,260,265,259,263,1.15,4632
7/15/2013,263,267,260,267,1.52,938
7/16/2013,267,262,259,260,-2.62,1081
