Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,1589,1618,1588,1598,0.57,4034
3/13/2013,1598,1662,1610,1662,4.01,4679
3/14/2013,1662,1729,1640,1660,-0.12,6609
3/17/2013,1660,1650,1610,1623,-2.23,7080
3/18/2013,1623,1615,1600,1603,-1.23,4041
3/19/2013,1603,1640,1585,1610,0.44,6732
3/20/2013,1610,1624,1600,1600,-0.62,3106
3/21/2013,1600,1600,1582,1592,-0.5,3253
3/24/2013,1592,1582,1550,1560,-2.01,4682
3/25/2013,1560,1575,1540,1574,0.9,5823
3/27/2013,1574,1575,1550,1574,0,1647
3/28/2013,1574,1584,1553,1575,0.06,2902
3/31/2013,1575,1574,1525,1544,-1.97,6568
4/1/2013,1544,1560,1514,1545,0.06,7186
4/2/2013,1545,1579,1546,1575,1.94,2653
4/3/2013,1575,1594,1570,1572,-0.19,4273
4/4/2013,1572,1563,1554,1554,-1.15,3778
4/7/2013,1554,1567,1540,1563,0.58,1576
4/8/2013,1563,1580,1552,1555,-0.51,3147
4/9/2013,1555,1585,1555,1580,1.61,3367
4/11/2013,1580,1603,1586,1593,0.82,3221
4/15/2013,1593,1606,1590,1596,0.19,6352
4/16/2013,1596,1595,1580,1588,-0.5,2833
4/17/2013,1588,1589,1555,1576,-0.76,3703
4/18/2013,1576,1580,1555,1567,-0.57,3721
4/21/2013,1567,1568,1540,1540,-1.72,10680
4/22/2013,1540,1543,1500,1537,-0.19,11762
4/23/2013,1537,1590,1542,1571,2.21,5506
4/25/2013,1571,1584,1555,1560,-0.7,1427
4/28/2013,1560,1560,1530,1560,0,4716
4/29/2013,1560,1561,1547,1550,-0.64,2458
4/30/2013,1550,1555,1535,1544,-0.39,12260
5/2/2013,1544,1540,1510,1526,-1.17,3186
5/5/2013,1526,1526,1500,1504,-1.44,4133
5/6/2013,1504,1500,1466,1494,-0.66,3756
5/7/2013,1494,1545,1505,1522,1.87,1455
5/8/2013,1522,1516,1503,1515,-0.46,2379
5/9/2013,1515,1524,1505,1519,0.26,1848
5/12/2013,1519,1535,1510,1510,-0.59,3022
5/13/2013,1510,1525,1510,1524,0.93,3539
5/14/2013,1524,1540,1512,1533,0.59,1407
5/15/2013,1533,1565,1530,1541,0.52,4043
5/16/2013,1541,1556,1520,1556,0.97,3576
5/19/2013,1556,1558,1540,1545,-0.71,2912
5/20/2013,1545,1560,1530,1551,0.39,1638
5/21/2013,1551,1559,1542,1551,0,2425
5/22/2013,1551,1556,1548,1549,-0.13,4355
5/23/2013,1549,1550,1525,1546,-0.19,1393
5/26/2013,1546,1555,1535,1550,0.26,9185
5/27/2013,1550,1561,1547,1557,0.45,3996
5/28/2013,1557,1560,1550,1550,-0.45,1669
5/30/2013,1550,1559,1550,1555,0.32,2297
6/2/2013,1555,1560,1540,1545,-0.64,4471
6/3/2013,1545,1560,1540,1550,0.32,2820
6/4/2013,1550,1550,1540,1546,-0.26,2539
6/5/2013,1546,1550,1538,1538,-0.52,4005
6/6/2013,1538,1547,1535,1540,0.13,1756
6/9/2013,1540,1550,1539,1546,0.39,963
6/10/2013,1546,1545,1540,1540,-0.39,3268
6/11/2013,1540,1560,1525,1540,0,8920
6/12/2013,1540,1540,1535,1540,0,865
6/13/2013,1540,1543,1520,1531,-0.58,1802
6/16/2013,1531,1555,1515,1525,-0.39,33560
6/17/2013,1525,1539,1525,1539,0.92,5843
6/18/2013,1539,1544,1523,1524,-0.97,8514
6/19/2013,1524,1526,1522,1525,0.07,2522
6/20/2013,1525,1530,1515,1515,-0.66,17264
6/23/2013,1515,1529,1510,1529,0.92,1001
6/24/2013,1529,1529,1520,1524,-0.33,805
6/25/2013,1524,1532,1515,1530,0.39,16658
6/26/2013,1530,1559,1530,1550,1.31,4643
6/27/2013,1550,1545,1530,1530,-1.29,7915
6/30/2013,1530,1540,1530,1530,0,3168
7/1/2013,1530,1540,1532,1535,0.33,1134
7/2/2013,1535,1540,1515,1537,0.13,16316
7/3/2013,1537,1542,1531,1540,0.2,3542
7/4/2013,1540,1546,1533,1539,-0.06,5626
7/7/2013,1539,1549,1539,1544,0.32,4118
7/8/2013,1544,1550,1535,1550,0.39,10212
7/9/2013,1550,1575,1560,1570,1.29,3924
7/10/2013,1570,1616,1575,1596,1.66,4739
7/11/2013,1596,1590,1575,1575,-1.32,3581
7/14/2013,1575,1618,1575,1575,0,5717
7/15/2013,1575,1603,1576,1591,1.02,5281
7/16/2013,1591,1609,1589,1599,0.5,1728
7/17/2013,1599,1610,1575,1609,0.63,2876
7/18/2013,1609,1669,1585,1668,3.67,8023
7/21/2013,1668,1759,1700,1739,4.26,10674
7/22/2013,1739,1775,1708,1725,-0.81,16392
7/23/2013,1725,1744,1727,1731,0.35,7761
7/24/2013,1731,1738,1726,1737,0.35,6039
7/25/2013,1737,1750,1725,1730,-0.4,12648
7/28/2013,1730,1750,1730,1739,0.52,10025
7/29/2013,1739,1773,1736,1750,0.63,8279
7/30/2013,1750,1815,1740,1800,2.86,6331
7/31/2013,1800,1836,1799,1810,0.56,10007
8/1/2013,1810,1897,1824,1836,1.44,14164
8/4/2013,1836,1860,1830,1845,0.49,7197
8/5/2013,1845,1845,1800,1806,-2.11,3940
8/6/2013,1806,1841,1765,1820,0.78,5789
8/7/2013,1820,1824,1810,1810,-0.55,4151
8/8/2013,1810,1820,1800,1814,0.22,2741
8/11/2013,1814,1795,1760,1782,-1.76,10990
8/12/2013,1782,1790,1770,1770,-0.67,3627
8/13/2013,1770,1777,1764,1770,0,5096
8/14/2013,1770,1782,1770,1778,0.45,2227
8/15/2013,1778,1790,1771,1780,0.11,4236
8/18/2013,1780,1800,1785,1793,0.73,2567
8/19/2013,1793,1810,1795,1806,0.73,4333
8/20/2013,1806,1821,1807,1810,0.22,4226
8/25/2013,1810,1824,1805,1814,0.22,12922
8/26/2013,1814,1830,1810,1818,0.22,5708
8/27/2013,1818,1875,1810,1841,1.27,6064
8/29/2013,1841,1846,1834,1840,-0.05,13762
9/1/2013,1840,1843,1810,1830,-0.54,9150
9/2/2013,1830,1841,1834,1835,0.27,4868
9/3/2013,1835,1836,1810,1825,-0.54,5906
9/4/2013,1825,1830,1790,1800,-1.37,12561
9/5/2013,1800,1820,1800,1820,1.11,6472
9/8/2013,1820,1784,1638,1692,-7.03,27879
9/9/2013,1692,1692,1665,1679,-0.77,3965
9/10/2013,1679,1675,1601,1610,-4.11,10975
9/11/2013,1610,1659,1611,1630,1.24,7754
