Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,495,508,496,500,1.01,8775
3/13/2013,500,517,503,517,3.4,11206
3/14/2013,517,557,515,530,2.51,19147
3/17/2013,530,536,512,524,-1.13,16582
3/18/2013,524,534,511,526,0.38,16018
3/19/2013,526,533,511,521,-0.95,13086
3/20/2013,521,526,510,514,-1.34,16270
3/21/2013,514,514,500,506,-1.56,13949
3/24/2013,506,505,497,500,-1.19,8985
3/25/2013,500,508,492,504,0.8,10422
3/27/2013,504,501,497,499,-0.99,5051
3/28/2013,499,500,491,498,-0.2,6050
3/31/2013,498,492,480,482,-3.21,12315
4/1/2013,482,502,473,502,4.15,16704
4/2/2013,502,510,490,507,1,8638
4/3/2013,507,506,497,500,-1.38,5659
4/4/2013,500,501,483,497,-0.6,4475
4/7/2013,497,501,493,499,0.4,4584
4/8/2013,499,503,496,502,0.6,9152
4/9/2013,502,516,495,516,2.79,9482
4/11/2013,516,525,510,513,-0.58,10235
4/15/2013,513,526,515,515,0.39,10538
4/16/2013,515,520,507,520,0.97,4194
4/17/2013,520,519,510,517,-0.58,9228
4/18/2013,517,513,506,508,-1.74,8169
4/21/2013,508,518,490,495,-2.56,15641
4/22/2013,495,493,475,493,-0.4,10553
4/23/2013,493,505,493,496,0.61,9788
4/25/2013,496,504,486,488,-1.61,2497
4/28/2013,488,493,479,480,-1.64,9870
4/29/2013,480,490,479,486,1.25,5471
4/30/2013,486,483,479,481,-1.03,6953
5/2/2013,481,489,467,485,0.83,3369
5/5/2013,485,478,436,465,-4.12,5675
5/6/2013,465,456,419,435,-6.45,9322
5/7/2013,435,462,431,455,4.6,17062
5/8/2013,455,464,443,444,-2.42,4781
5/9/2013,444,452,440,446,0.45,2146
5/12/2013,446,448,435,448,0.45,1421
5/13/2013,448,447,425,447,-0.22,9340
5/14/2013,447,442,426,432,-3.36,36011
8/5/2013,432,475,440,475,9.95,288
8/6/2013,475,514,475,505,6.32,51758
8/7/2013,505,508,486,489,-3.17,21531
8/8/2013,489,490,471,475,-2.86,9980
8/11/2013,475,475,451,459,-3.37,7270
8/12/2013,459,464,450,451,-1.74,8484
8/13/2013,451,455,447,449,-0.44,7911
8/14/2013,449,449,441,444,-1.11,7899
8/15/2013,444,451,425,430,-3.15,7007
8/18/2013,430,447,422,441,2.56,23584
8/19/2013,441,451,432,443,0.45,11651
8/20/2013,443,448,437,448,1.13,15091
8/25/2013,448,445,432,435,-2.9,3871
8/26/2013,435,435,427,428,-1.61,4468
8/27/2013,428,445,421,425,-0.7,37090
8/29/2013,425,435,422,429,0.94,5418
9/1/2013,429,435,428,433,0.93,3549
9/2/2013,433,433,423,430,-0.69,6230
9/3/2013,430,434,428,431,0.23,5877
9/4/2013,431,430,424,430,-0.23,6439
9/5/2013,430,427,421,422,-1.86,6760
9/8/2013,422,427,423,423,0.24,4047
9/9/2013,423,435,425,430,1.65,5365
9/10/2013,430,425,420,420,-2.33,6261
9/11/2013,420,429,415,420,0,6957
9/12/2013,420,427,419,421,0.24,7907
9/15/2013,421,423,405,409,-2.85,4223
9/16/2013,409,410,401,407,-0.49,5013
9/17/2013,407,407,398,398,-2.21,8215
9/19/2013,398,425,396,420,5.53,5539
9/22/2013,420,412,400,404,-3.81,6710
9/23/2013,404,411,399,406,0.5,6332
9/24/2013,406,410,400,402,-0.99,4881
9/25/2013,402,407,395,401,-0.25,5858
9/26/2013,401,405,400,400,-0.25,4898
9/29/2013,400,401,395,400,0,2314
9/30/2013,400,400,391,397,-0.75,4273
10/1/2013,397,401,393,400,0.76,2062
10/2/2013,400,400,392,398,-0.5,2553
10/3/2013,398,399,393,399,0.25,2521
10/6/2013,399,401,395,400,0.25,1414
10/7/2013,400,421,392,421,5.25,891
