Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,803,810,803,803,0,490
3/13/2013,803,813,800,809,0.75,3531
3/14/2013,809,869,825,841,3.96,1111
3/17/2013,841,841,810,810,-3.69,900
3/18/2013,810,808,790,790,-2.47,831
3/19/2013,790,805,790,800,1.27,1212
3/20/2013,800,800,785,793,-0.88,1235
3/21/2013,793,785,778,781,-1.51,1482
3/24/2013,781,775,742,768,-1.66,1692
3/25/2013,768,783,770,776,1.04,532
3/27/2013,776,785,764,775,-0.13,865
3/31/2013,775,760,750,755,-2.58,591
4/1/2013,755,760,725,760,0.66,1782
4/2/2013,760,773,744,763,0.39,1149
4/3/2013,763,765,763,765,0.26,241
4/4/2013,765,765,755,760,-0.65,418
4/7/2013,760,760,755,760,0,603
4/8/2013,760,775,760,761,0.13,807
4/9/2013,761,765,758,765,0.53,1105
4/11/2013,765,782,767,767,0.26,127
4/15/2013,767,770,765,770,0.39,642
4/16/2013,770,772,762,771,0.13,4409
4/17/2013,771,774,760,760,-1.43,738
4/18/2013,760,750,750,750,-1.32,300
4/21/2013,750,750,741,741,-1.2,332
4/22/2013,741,735,707,707,-4.59,5221
4/23/2013,707,740,721,740,4.67,3846
4/25/2013,740,735,735,735,-0.68,204
4/28/2013,735,730,715,730,-0.68,729
4/29/2013,730,732,727,732,0.27,270
4/30/2013,732,736,733,735,0.41,201
5/2/2013,735,735,720,720,-2.04,388
5/5/2013,720,720,703,703,-2.36,634
5/7/2013,703,717,700,700,-0.43,599
5/8/2013,700,697,695,695,-0.71,719
5/9/2013,695,695,685,695,0,1109
5/12/2013,695,690,682,682,-1.87,749
5/13/2013,682,695,688,692,1.47,275
5/14/2013,692,700,699,700,1.16,1484
5/15/2013,700,715,700,715,2.14,1121
5/16/2013,715,728,715,728,1.82,263
5/19/2013,728,728,720,725,-0.41,570
5/20/2013,725,728,723,725,0,1530
5/21/2013,725,730,727,730,0.69,486
5/22/2013,730,730,716,730,0,1093
5/23/2013,730,716,716,716,-1.92,87
5/26/2013,716,718,715,715,-0.14,1194
5/27/2013,715,730,725,730,2.1,341
5/28/2013,730,725,725,725,-0.68,345
5/30/2013,725,720,715,720,-0.69,424
6/2/2013,720,725,717,717,-0.42,553
6/3/2013,717,731,720,731,1.95,872
6/4/2013,731,731,720,721,-1.37,228
6/5/2013,721,721,720,720,-0.14,414
6/6/2013,720,720,720,720,0,1653
6/9/2013,720,720,705,720,0,1007
6/10/2013,720,724,713,724,0.56,3392
6/11/2013,724,715,710,715,-1.24,949
6/12/2013,715,714,702,706,-1.26,782
6/13/2013,706,711,710,710,0.57,1816
6/16/2013,710,734,724,734,3.38,284
6/17/2013,734,720,720,720,-1.91,26
6/18/2013,720,707,706,706,-1.94,254
6/19/2013,706,700,690,700,-0.85,327
6/20/2013,700,690,676,676,-3.43,305
6/23/2013,676,689,671,671,-0.74,889
6/24/2013,671,697,684,684,1.94,54
6/25/2013,684,701,675,699,2.19,1610
6/26/2013,699,720,700,709,1.43,2941
6/27/2013,709,700,694,700,-1.27,888
6/30/2013,700,701,696,696,-0.57,1253
7/1/2013,696,699,696,699,0.43,130
7/2/2013,699,695,686,692,-1,1575
7/3/2013,692,692,681,681,-1.59,3204
7/4/2013,681,680,668,668,-1.91,2702
7/7/2013,668,685,678,680,1.8,812
7/8/2013,680,690,684,688,1.18,1254
7/9/2013,688,705,690,690,0.29,534
7/10/2013,690,702,700,700,1.45,113
7/11/2013,700,703,699,703,0.43,1472
7/14/2013,703,700,700,700,-0.43,202
7/15/2013,700,700,700,700,0,766
7/16/2013,700,714,700,714,2,783
7/17/2013,714,700,700,700,-1.96,179
7/18/2013,700,713,701,708,1.14,840
7/21/2013,708,736,721,730,3.11,739
7/22/2013,730,744,730,734,0.55,258
7/23/2013,734,733,725,725,-1.23,931
7/24/2013,725,720,713,713,-1.66,777
7/25/2013,713,725,710,720,0.98,1866
7/28/2013,720,713,712,712,-1.11,340
7/29/2013,712,719,713,719,0.98,1259
7/30/2013,719,731,722,729,1.39,789
7/31/2013,729,736,726,730,0.14,1303
8/1/2013,730,745,731,740,1.37,1888
8/4/2013,740,754,740,749,1.22,3747
8/5/2013,749,749,740,743,-0.8,2082
8/6/2013,743,752,730,752,1.21,1309
8/7/2013,752,755,740,745,-0.93,1553
8/8/2013,745,755,750,754,1.21,247
8/11/2013,754,750,746,747,-0.93,300
8/12/2013,747,747,740,745,-0.27,688
8/13/2013,745,745,745,745,0,50
8/14/2013,745,760,745,745,0,1338
8/15/2013,745,741,730,730,-2.01,328
8/18/2013,730,740,694,732,0.27,1571
8/19/2013,732,739,730,732,0,889
8/20/2013,732,744,715,744,1.64,2367
8/25/2013,744,745,735,744,0,2488
8/26/2013,744,730,716,729,-2.02,334
8/27/2013,729,738,720,738,1.23,812
8/29/2013,738,735,731,731,-0.95,919
9/1/2013,731,736,690,700,-4.24,1550
9/2/2013,700,714,700,706,0.86,1050
9/3/2013,706,700,690,690,-2.27,1231
9/4/2013,690,690,672,672,-2.61,336
9/5/2013,672,693,666,693,3.12,514
9/8/2013,693,692,688,690,-0.43,444
9/9/2013,690,703,690,702,1.74,2193
9/10/2013,702,716,690,700,-0.28,775
9/11/2013,700,704,692,700,0,1412
9/12/2013,700,695,686,695,-0.71,90
9/15/2013,695,700,688,689,-0.86,133
9/16/2013,689,692,679,680,-1.31,1519
9/17/2013,680,680,655,656,-3.53,1513
9/19/2013,656,665,656,665,1.37,292
9/22/2013,665,665,640,654,-1.65,5848
9/23/2013,654,650,600,624,-4.59,11114
9/24/2013,624,673,600,660,5.77,5542
9/25/2013,660,680,661,680,3.03,1076
9/26/2013,680,699,655,655,-3.68,1264
9/29/2013,655,668,655,665,1.53,2730
9/30/2013,665,671,665,671,0.9,2208
10/1/2013,671,680,675,675,0.6,262
10/2/2013,675,700,675,690,2.22,1464
10/3/2013,690,700,695,695,0.72,141
10/6/2013,695,708,695,708,1.87,132
10/7/2013,708,730,712,712,0.56,279
10/8/2013,712,715,705,715,0.42,3200
10/9/2013,715,725,720,725,1.4,1617
10/10/2013,725,735,718,733,1.1,432
10/17/2013,733,747,740,740,0.95,2194
10/20/2013,740,770,735,770,4.05,1206
10/21/2013,770,784,762,775,0.65,1661
10/22/2013,775,775,755,755,-2.58,724
10/23/2013,755,752,737,737,-2.38,609
10/24/2013,737,735,726,734,-0.41,2137
10/27/2013,734,735,730,735,0.14,254
10/28/2013,735,742,735,740,0.68,418
10/29/2013,740,740,733,740,0,336
10/30/2013,740,752,740,752,1.62,441
10/31/2013,752,750,742,750,-0.27,299
11/6/2013,750,745,735,745,-0.67,196
11/7/2013,745,751,740,751,0.81,960
11/11/2013,751,750,722,746,-0.67,13038
11/12/2013,746,780,731,731,-2.01,7978
11/13/2013,731,760,745,755,3.28,2244
