Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,346,355,348,350,1.16,3850
3/13/2013,350,354,346,354,1.14,3779
3/14/2013,354,368,346,353,-0.28,4218
3/17/2013,353,349,345,348,-1.42,1663
3/18/2013,348,345,342,342,-1.72,2207
3/19/2013,342,345,340,343,0.29,2046
3/20/2013,343,355,338,338,-1.46,682
3/21/2013,338,335,332,335,-0.89,2478
3/24/2013,335,330,328,330,-1.49,1189
3/25/2013,330,338,330,335,1.52,2570
3/27/2013,335,335,331,331,-1.19,3120
3/28/2013,331,337,328,337,1.81,2148
3/31/2013,337,331,325,328,-2.67,1857
4/1/2013,328,334,320,334,1.83,6126
4/2/2013,334,340,328,331,-0.9,1443
4/3/2013,331,335,333,335,1.21,853
4/4/2013,335,336,333,336,0.3,431
4/7/2013,336,340,340,340,1.19,200
4/8/2013,340,336,328,336,-1.18,1004
4/9/2013,336,337,331,337,0.3,4866
4/11/2013,337,341,340,340,0.89,307
4/15/2013,340,349,342,342,0.59,544
4/16/2013,342,343,333,333,-2.63,494
4/18/2013,333,335,333,333,0,244
4/21/2013,333,331,323,325,-2.4,2620
4/22/2013,325,324,311,324,-0.31,1513
4/23/2013,324,330,324,325,0.31,2457
4/25/2013,325,319,318,318,-2.15,185
4/28/2013,318,318,310,318,0,4000
4/29/2013,318,313,306,313,-1.57,1596
4/30/2013,313,319,310,316,0.96,1708
5/2/2013,316,312,312,312,-1.27,1000
5/5/2013,312,316,301,305,-2.24,4479
5/6/2013,305,306,300,304,-0.33,2012
5/7/2013,304,315,308,312,2.63,3217
5/8/2013,312,315,312,312,0,365
5/12/2013,312,313,307,308,-1.28,3455
5/13/2013,308,312,303,312,1.3,711
5/14/2013,312,310,306,309,-0.96,2162
5/15/2013,309,314,309,310,0.32,716
5/16/2013,310,312,306,310,0,563
5/19/2013,310,311,308,310,0,724
5/20/2013,310,312,308,311,0.32,1707
5/21/2013,311,315,309,310,-0.32,702
5/22/2013,310,307,307,307,-0.97,61
5/23/2013,307,310,306,310,0.98,455
5/26/2013,310,310,308,309,-0.32,477
5/27/2013,309,316,308,310,0.32,1285
5/28/2013,310,309,307,308,-0.65,1600
5/30/2013,308,307,304,306,-0.65,1660
6/2/2013,306,305,300,305,-0.33,1355
6/3/2013,305,305,300,301,-1.31,14213
6/4/2013,301,304,300,304,1,8570
6/5/2013,304,307,304,307,0.99,268
6/6/2013,307,310,307,310,0.98,210
6/9/2013,310,315,309,309,-0.32,734
6/10/2013,309,309,305,305,-1.29,255
6/11/2013,305,308,300,308,0.98,6397
6/12/2013,308,308,305,308,0,1466
6/13/2013,308,308,305,306,-0.65,5570
6/16/2013,306,313,307,313,2.29,562
6/17/2013,313,318,306,306,-2.24,450
6/18/2013,306,306,303,305,-0.33,763
6/19/2013,305,307,303,306,0.33,2485
6/20/2013,306,306,300,300,-1.96,2605
6/23/2013,300,303,298,303,1,606
6/24/2013,303,309,300,300,-0.99,8402
6/25/2013,300,312,300,305,1.67,4170
6/26/2013,305,314,308,308,0.98,1876
6/27/2013,308,306,305,305,-0.97,618
6/30/2013,305,304,300,302,-0.98,1862
7/1/2013,302,305,302,302,0,352
7/2/2013,302,306,302,306,1.32,501
7/3/2013,306,306,300,302,-1.31,1880
7/4/2013,302,307,296,307,1.66,2253
7/7/2013,307,302,300,300,-2.28,955
7/8/2013,300,308,300,308,2.67,2750
7/9/2013,308,314,302,308,0,405
7/10/2013,308,314,304,314,1.95,4808
7/11/2013,314,310,308,310,-1.27,962
7/14/2013,310,316,304,311,0.32,1347
7/15/2013,311,311,309,309,-0.64,669
7/16/2013,309,310,309,310,0.32,1612
7/17/2013,310,309,304,308,-0.65,1480
7/18/2013,308,313,307,313,1.62,4245
7/21/2013,313,339,313,333,6.39,7746
7/22/2013,333,342,332,338,1.5,6151
7/23/2013,338,338,333,333,-1.48,2165
7/24/2013,333,338,332,336,0.9,2298
7/25/2013,336,338,332,335,-0.3,3682
7/28/2013,335,335,323,335,0,528
7/29/2013,335,348,333,342,2.09,7340
7/30/2013,342,350,342,350,2.34,5818
7/31/2013,350,372,356,357,2,7534
8/1/2013,357,356,348,348,-2.52,8113
8/4/2013,348,351,343,344,-1.15,6516
8/5/2013,344,344,340,344,0,1217
8/6/2013,344,346,335,340,-1.16,3057
8/7/2013,340,348,340,343,0.88,7675
8/8/2013,343,341,339,339,-1.17,3456
8/11/2013,339,345,340,343,1.18,4497
8/12/2013,343,345,340,344,0.29,2964
8/13/2013,344,344,340,341,-0.87,2440
8/14/2013,341,344,333,334,-2.05,3601
8/15/2013,334,333,330,330,-1.2,1966
8/18/2013,330,340,331,336,1.82,2518
8/19/2013,336,345,339,343,2.08,3567
8/20/2013,343,364,335,354,3.21,12657
8/25/2013,354,367,357,357,0.85,5096
8/26/2013,357,365,355,363,1.68,3400
8/27/2013,363,368,360,366,0.83,16271
8/29/2013,366,371,358,371,1.37,11439
9/1/2013,371,365,358,360,-2.96,1894
9/2/2013,360,363,354,363,0.83,2679
9/3/2013,363,362,355,362,-0.28,4622
9/4/2013,362,359,356,356,-1.66,1007
9/5/2013,356,367,360,360,1.12,404
9/8/2013,360,364,360,364,1.11,2531
9/9/2013,364,366,362,363,-0.27,3670
9/10/2013,363,359,352,352,-3.03,1957
9/11/2013,352,352,340,340,-3.41,1496
9/12/2013,340,369,344,362,6.47,10964
9/15/2013,362,356,355,355,-1.93,506
9/16/2013,355,355,355,355,0,75
9/17/2013,355,360,353,353,-0.56,444
9/19/2013,353,346,341,344,-2.55,1502
9/22/2013,344,339,331,333,-3.2,1866
9/23/2013,333,336,327,336,0.9,633
9/24/2013,336,337,331,337,0.3,310
9/25/2013,337,355,331,355,5.34,133
9/26/2013,355,350,350,350,-1.41,105
9/29/2013,350,350,350,350,0,166
9/30/2013,350,350,332,336,-4,4375
10/1/2013,336,336,330,336,0,1522
10/2/2013,336,335,329,335,-0.3,2414
10/3/2013,335,337,335,337,0.6,283
10/6/2013,337,343,331,343,1.78,1328
10/7/2013,343,349,345,349,1.75,197
10/8/2013,349,352,342,342,-2.01,1415
10/10/2013,342,354,348,354,3.51,212
10/17/2013,354,356,356,356,0.56,90
10/20/2013,356,363,357,357,0.28,1380
10/21/2013,357,368,355,356,-0.28,5242
10/22/2013,356,353,350,351,-1.4,2148
10/23/2013,351,348,340,340,-3.13,984
10/24/2013,340,342,336,342,0.59,2037
10/27/2013,342,342,336,342,0,684
10/28/2013,342,342,332,332,-2.92,2105
10/29/2013,332,340,338,340,2.41,1265
10/30/2013,340,342,334,341,0.29,2119
10/31/2013,341,345,340,342,0.29,1216
11/7/2013,342,345,342,343,0.29,1324
11/10/2013,343,342,340,340,-0.87,1316
11/11/2013,340,345,336,340,0,5853
11/12/2013,340,352,340,347,2.06,10396
11/13/2013,347,360,342,349,0.58,5831
11/14/2013,349,350,342,349,0,5671
11/21/2013,349,383,355,380,8.88,10758
11/24/2013,380,418,363,363,-4.47,38195
11/25/2013,363,370,350,359,-1.1,14031
11/26/2013,359,373,350,359,0,5367
11/27/2013,359,359,348,348,-3.06,637
11/28/2013,348,361,348,357,2.59,8846
12/1/2013,357,367,357,365,2.24,5988
12/2/2013,365,390,361,381,4.38,18527
12/3/2013,381,398,381,395,3.67,16697
12/4/2013,395,426,402,411,4.05,31587
12/5/2013,411,447,415,430,4.62,20760
12/8/2013,430,427,406,421,-2.09,21281
12/9/2013,421,422,414,417,-0.95,9120
12/10/2013,417,446,410,446,6.95,53607
12/11/2013,446,480,454,473,6.05,25874
12/12/2013,473,498,470,480,1.48,32013
12/15/2013,480,505,465,492,2.5,33534
12/16/2013,492,541,500,541,9.96,25751
12/18/2013,541,584,551,584,7.95,8394
12/19/2013,584,582,529,560,-4.11,24402
12/22/2013,560,560,525,536,-4.29,21515
12/23/2013,536,569,522,530,-1.12,56618
12/24/2013,530,552,488,534,0.75,23783
12/26/2013,534,566,535,549,2.81,28442
12/29/2013,549,550,535,537,-2.19,11250
