Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,237,238,233,236,-0.42,7647
3/13/2013,236,245,238,241,2.12,16668
3/14/2013,241,249,238,241,0,10226
3/17/2013,241,241,230,235,-2.49,5725
3/18/2013,235,235,230,230,-2.13,2407
3/19/2013,230,235,231,234,1.74,3683
3/20/2013,234,230,228,228,-2.56,6872
3/21/2013,228,226,226,226,-0.88,200
3/24/2013,226,224,220,220,-2.65,6079
3/25/2013,220,227,221,224,1.82,5578
3/27/2013,224,226,222,223,-0.45,4938
3/28/2013,223,226,223,225,0.9,2557
3/31/2013,225,225,220,220,-2.22,7932
4/1/2013,220,225,216,225,2.27,6795
4/2/2013,225,233,225,233,3.56,2291
4/4/2013,233,229,222,222,-4.72,785
4/7/2013,222,224,220,224,0.9,5193
4/8/2013,224,225,222,223,-0.45,2397
4/9/2013,223,231,221,231,3.59,1108
4/11/2013,231,232,227,228,-1.3,3947
4/15/2013,228,234,224,225,-1.32,5846
4/16/2013,225,227,223,226,0.44,1451
4/17/2013,226,226,225,225,-0.44,3272
4/18/2013,225,223,218,221,-1.78,2013
4/21/2013,221,221,217,219,-0.9,2136
4/22/2013,219,216,207,210,-4.11,9014
4/23/2013,210,220,214,214,1.9,3583
4/25/2013,214,215,211,211,-1.4,2537
4/28/2013,211,212,208,209,-0.95,2009
4/29/2013,209,214,209,209,0,2806
4/30/2013,209,209,207,209,0,482
5/2/2013,209,205,193,195,-6.7,5240
5/5/2013,195,198,193,195,0,3246
5/6/2013,195,193,191,193,-1.03,1583
5/7/2013,193,211,195,208,7.77,3139
5/8/2013,208,204,200,204,-1.92,1192
5/9/2013,204,204,198,201,-1.47,1957
5/12/2013,201,204,193,193,-3.98,1905
5/13/2013,193,200,192,196,1.55,3339
5/14/2013,196,204,198,200,2.04,4876
5/15/2013,200,212,204,206,3,3305
5/16/2013,206,211,206,210,1.94,4283
5/19/2013,210,211,211,211,0.48,154
5/20/2013,211,208,200,203,-3.79,245
5/21/2013,203,202,198,202,-0.49,4017
5/22/2013,202,209,205,205,1.49,803
5/23/2013,205,201,196,198,-3.41,8136
5/26/2013,198,201,196,198,0,7066
5/27/2013,198,204,197,204,3.03,5353
5/28/2013,204,207,201,207,1.47,2735
5/30/2013,207,207,207,207,0,990
6/2/2013,207,203,198,198,-4.35,1050
6/3/2013,198,200,197,200,1.01,816
6/4/2013,200,199,199,199,-0.5,1257
6/5/2013,199,201,192,200,0.5,7951
6/6/2013,200,200,198,199,-0.5,957
6/9/2013,199,199,196,197,-1.01,5065
6/10/2013,197,196,192,195,-1.02,4421
6/11/2013,195,195,193,195,0,1706
6/12/2013,195,195,194,195,0,1843
6/13/2013,195,197,195,196,0.51,4205
6/16/2013,196,199,196,196,0,2456
6/17/2013,196,195,191,193,-1.53,3362
6/18/2013,193,193,190,190,-1.55,10449
6/19/2013,190,193,187,193,1.58,167
6/20/2013,193,192,189,192,-0.52,5899
6/23/2013,192,190,190,190,-1.04,628
6/24/2013,190,193,188,192,1.05,3801
6/25/2013,192,200,193,198,3.12,10161
6/26/2013,198,207,199,201,1.52,9777
6/27/2013,201,200,196,196,-2.49,3767
6/30/2013,196,196,190,191,-2.55,8222
7/1/2013,191,194,189,192,0.52,5954
7/2/2013,192,190,190,190,-1.04,3590
7/3/2013,190,193,190,193,1.58,4196
7/4/2013,193,192,190,191,-1.04,4970
7/7/2013,191,192,191,191,0,3491
