Date,Open,High,Low,Close,Adj Close,Volume
7/6/2000,1261,1300,1300,1300,1300,100
7/7/2000,1300,1325,1301,1325,1325,356
7/10/2000,1325,1340,1340,1340,1340,25
7/11/2000,1340,1340,1340,1340,1340,370
7/12/2000,1340,1356,1355,1356,1356,517
7/13/2000,1356,1391,1375,1391,1391,1837
7/14/2000,1391,1400,1400,1400,1400,2683
7/17/2000,1400,1400,1390,1400,1400,887
7/18/2000,1400,1400,1399,1400,1400,470
7/19/2000,1400,1390,1389,1389,1389,688
7/20/2000,1389,1400,1390,1400,1400,668
7/21/2000,1400,1400,1375,1395,1395,1836
7/24/2000,1395,1375,1375,1375,1375,90
7/25/2000,1375,1375,1370,1375,1375,282
7/26/2000,1375,1370,1365,1365,1365,571
7/27/2000,1365,1370,1370,1370,1370,461
7/28/2000,1370,1382,1370,1382,1382,720
7/31/2000,1382,1385,1380,1380,1380,259
8/1/2000,1380,1385,1385,1385,1385,65
8/2/2000,1385,1401,1390,1400,1400,1115
8/4/2000,1400,1401,1400,1401,1401,216
8/7/2000,1401,1401,1401,1401,1401,264
8/8/2000,1401,1410,1402,1410,1410,509
8/9/2000,1410,1425,1410,1420,1420,1418
8/10/2000,1420,1410,1410,1410,1410,104
8/11/2000,1410,1450,1450,1450,1450,106
8/17/2000,1450,1500,1475,1490,1490,195
8/18/2000,1490,1535,1525,1535,1535,249
8/21/2000,1535,1615,1550,1600,1600,316
8/23/2000,1600,1610,1605,1610,1610,544
8/24/2000,1610,1610,1605,1610,1610,1861
8/25/2000,1610,1610,1610,1610,1610,425
8/28/2000,1610,1626,1620,1626,1626,1947
8/29/2000,1626,1650,1650,1650,1650,1854
8/30/2000,1650,1660,1650,1660,1660,3189
8/31/2000,1660,1699,1650,1650,1650,661
9/1/2000,1650,1650,1650,1650,1650,145
9/4/2000,1650,1615,1605,1605,1605,432
9/5/2000,1605,1615,1615,1615,1615,78
9/6/2000,1615,1590,1540,1540,1540,72
9/7/2000,1540,1500,1500,1500,1500,382
9/8/2000,1500,1500,1500,1500,1500,414
9/11/2000,1500,1500,1480,1500,1500,416
9/13/2000,1500,1550,1501,1550,1550,278
9/14/2000,1550,1610,1595,1595,1595,342
9/15/2000,1595,1600,1551,1560,1560,337
9/18/2000,1560,1575,1560,1575,1575,53
9/19/2000,1575,1585,1565,1565,1565,592
9/20/2000,1565,1595,1575,1580,1580,378
9/21/2000,1580,1575,1575,1575,1575,19
9/22/2000,1575,1575,1575,1575,1575,349
9/25/2000,1575,1575,1574,1574,1574,347
9/26/2000,1574,1574,1574,1574,1574,190
9/27/2000,1574,1569,1565,1569,1569,336
9/29/2000,1569,1570,1550,1570,1570,260
10/2/2000,1570,1570,1570,1570,1570,101
10/3/2000,1570,1585,1580,1580,1580,424
10/13/2000,1580,1580,1580,1580,1580,164
10/16/2000,1580,1600,1578,1578,1578,105
10/17/2000,1578,1600,1600,1600,1600,677
10/18/2000,1600,1620,1600,1616,1616,2037
10/19/2000,1616,1700,1625,1700,1700,1042
10/20/2000,1700,1730,1725,1730,1730,1244
10/23/2000,1730,1820,1750,1791,1791,1162
10/24/2000,1791,1860,1845,1860,1860,394
10/25/2000,1860,1845,1839,1840,1840,553
10/30/2000,1840,1800,1765,1765,1765,252
10/31/2000,1765,1730,1730,1730,1730,110
11/1/2000,1730,1740,1730,1740,1740,1163
11/2/2000,1740,1775,1750,1750,1750,815
11/3/2000,1750,1750,1740,1741,1741,517
11/6/2000,1741,1760,1750,1760,1760,1456
11/7/2000,1760,1811,1760,1811,1811,725
11/9/2000,1811,1900,1810,1900,1900,539
11/10/2000,1900,2100,2040,2099,2099,2268
11/13/2000,2099,2100,2050,2080,2080,8852
11/14/2000,2080,2140,2100,2130,2130,1052
11/15/2000,2130,2201,2140,2161,2161,1453
11/16/2000,2161,2271,2210,2271,2271,1140
11/17/2000,2271,2301,2301,2301,2301,78
11/20/2000,2301,2300,2295,2296,2296,1569
11/21/2000,2296,2300,2285,2300,2300,354
11/22/2000,2300,2271,2240,2259,2259,1508
11/23/2000,2259,2225,2225,2225,2225,41
11/24/2000,2225,2200,2125,2145,2145,1348
11/27/2000,2145,2199,2100,2199,2199,190
11/28/2000,2199,2000,1900,1950,1950,699
11/29/2000,1950,1850,1800,1820,1820,1886
11/30/2000,1820,1990,1800,1990,1990,1476
12/1/2000,1990,2160,1981,2001,2001,3276
12/4/2000,2001,1975,1920,1961,1961,2274
12/5/2000,1961,1910,1900,1900,1900,141
12/6/2000,1900,1900,1890,1900,1900,1092
12/7/2000,1900,1906,1906,1906,1906,54
12/8/2000,1906,1915,1906,1915,1915,322
12/11/2000,1915,1911,1900,1911,1911,450
12/12/2000,1911,1910,1900,1901,1901,1124
12/13/2000,1901,1890,1875,1890,1890,707
12/15/2000,1890,1901,1900,1901,1901,555
12/18/2000,1901,1910,1890,1890,1890,1163
12/19/2000,1890,1880,1873,1873,1873,631
12/20/2000,1873,1880,1873,1873,1873,273
12/21/2000,1873,1880,1865,1870,1870,409
12/22/2000,1870,1860,1855,1855,1855,865
12/25/2000,1855,1900,1850,1900,1900,249
12/26/2000,1900,1900,1850,1880,1880,1477
12/27/2000,1880,1880,1880,1880,1880,105
1/2/2001,1880,1850,1850,1850,1850,67
1/4/2001,1850,1850,1840,1840,1840,56
1/5/2001,1840,1845,1840,1840,1840,335
1/8/2001,1840,1845,1810,1845,1845,699
1/9/2001,1845,1800,1800,1800,1800,170
1/10/2001,1800,1750,1700,1750,1750,751
1/12/2001,1750,1750,1745,1750,1750,91
1/15/2001,1750,1730,1730,1730,1730,123
1/16/2001,1730,1730,1701,1720,1720,180
1/17/2001,1720,1700,1650,1690,1690,1598
1/18/2001,1690,1690,1690,1690,1690,256
1/19/2001,1690,1690,1685,1690,1690,739
1/22/2001,1690,1700,1685,1700,1700,958
1/24/2001,1700,1700,1685,1690,1690,495
1/25/2001,1690,1725,1725,1725,1725,78
1/26/2001,1725,1751,1750,1751,1751,53
1/30/2001,1751,1775,1751,1751,1751,101
1/31/2001,1751,1780,1780,1780,1780,125
2/1/2001,1780,1800,1780,1800,1800,456
2/2/2001,1800,1825,1805,1820,1820,554
2/5/2001,1820,1800,1790,1790,1790,212
2/6/2001,1790,1800,1800,1800,1800,26
2/7/2001,1800,1780,1780,1780,1780,72
2/14/2001,1780,1630,1620,1620,1620,539
2/15/2001,1620,1620,1600,1600,1600,688
2/16/2001,1600,1600,1550,1600,1600,413
2/19/2001,1600,1600,1500,1500,1500,466
2/20/2001,1500,1500,1460,1460,1460,358
2/22/2001,1460,1450,1330,1361,1361,1502
2/23/2001,1361,1350,1310,1321,1321,1015
2/27/2001,1321,1356,1330,1351,1351,1180
2/28/2001,1351,1360,1350,1350,1350,2477
3/1/2001,1350,1350,1325,1350,1350,1508
3/2/2001,1350,1335,1335,1335,1335,102
3/5/2001,1335,1415,1415,1415,1415,287
3/7/2001,1415,1450,1440,1450,1450,88
3/8/2001,1450,1500,1475,1500,1500,307
3/12/2001,1500,1531,1500,1531,1531,328
3/13/2001,1531,1525,1500,1510,1510,358
3/14/2001,1510,1525,1525,1525,1525,338
3/15/2001,1525,1535,1525,1530,1530,290
3/16/2001,1530,1540,1530,1530,1530,433
3/19/2001,1530,1525,1525,1525,1525,82
3/20/2001,1525,1500,1499,1499,1499,181
3/21/2001,1499,1525,1400,1401,1401,1224
3/22/2001,1401,1401,1401,1401,1401,10
3/23/2001,1401,1415,1415,1415,1415,74
3/26/2001,1415,1700,1400,1652,1652,652
3/27/2001,1652,1650,1649,1650,1650,1029
3/28/2001,1650,1650,1600,1649,1649,549
3/29/2001,1649,1618,1585,1585,1585,476
3/30/2001,1585,1585,1575,1585,1585,432
4/3/2001,1585,1600,1600,1600,1600,156
4/4/2001,1600,1605,1601,1601,1601,341
4/5/2001,1601,1640,1620,1620,1620,401
4/6/2001,1620,1640,1640,1640,1640,117
4/9/2001,1640,1640,1635,1640,1640,304
4/10/2001,1640,1640,1640,1640,1640,448
4/11/2001,1640,1640,1600,1600,1600,179
4/12/2001,1600,1640,1640,1640,1640,20
4/13/2001,1640,1630,1625,1625,1625,81
4/16/2001,1625,1605,1600,1600,1600,25
4/17/2001,1600,1600,1580,1591,1591,378
4/18/2001,1591,1590,1590,1590,1590,30
4/19/2001,1590,1580,1551,1575,1575,1067
4/20/2001,1575,1575,1575,1575,1575,407
4/23/2001,1575,1576,1575,1575,1575,580
4/24/2001,1575,1575,1570,1570,1570,446
4/25/2001,1570,1570,1570,1570,1570,456
4/26/2001,1570,1570,1570,1570,1570,390
4/27/2001,1570,1570,1565,1570,1570,303
4/30/2001,1570,1565,1565,1565,1565,120
5/1/2001,1565,1565,1551,1551,1551,175
5/2/2001,1551,1542,1540,1540,1540,133
5/3/2001,1540,1540,1530,1530,1530,86
5/4/2001,1530,1525,1520,1525,1525,310
5/8/2001,1525,1525,1525,1525,1525,15
5/9/2001,1525,1510,1510,1510,1510,26
5/10/2001,1510,1500,1450,1450,1450,502
5/11/2001,1450,1480,1480,1480,1480,60
5/14/2001,1480,1450,1400,1400,1400,913
5/15/2001,1400,1380,1345,1345,1345,216
5/16/2001,1345,1350,1311,1345,1345,86
5/17/2001,1345,1375,1375,1375,1375,26
5/18/2001,1375,1412,1400,1405,1405,647
5/21/2001,1405,1425,1390,1418,1418,796
5/22/2001,1418,1447,1425,1447,1447,570
5/23/2001,1447,1500,1485,1500,1500,239
5/24/2001,1500,1520,1510,1515,1515,223
5/25/2001,1515,1516,1515,1515,1515,152
5/28/2001,1515,1500,1500,1500,1500,50
5/29/2001,1500,1500,1500,1500,1500,15
5/31/2001,1500,1501,1475,1501,1501,292
6/1/2001,1501,1500,1490,1500,1500,181
6/15/2001,1500,1450,1450,1450,1450,51
6/18/2001,1450,1450,1450,1450,1450,15
6/19/2001,1450,1500,1460,1500,1500,372
6/20/2001,1500,1500,1500,1500,1500,425
6/21/2001,1500,1510,1510,1510,1510,272
6/25/2001,1510,1510,1510,1510,1510,221
6/26/2001,1510,1500,1500,1500,1500,743
6/27/2001,1500,1515,1500,1515,1515,1073
6/29/2001,1515,1505,1490,1490,1490,400
7/2/2001,1490,1490,1480,1480,1480,51
7/3/2001,1480,1450,1450,1450,1450,2070
7/4/2001,1450,1435,1430,1430,1430,443
7/5/2001,1430,1425,1400,1420,1420,786
7/6/2001,1420,1420,1420,1420,1420,294
7/9/2001,1420,1420,1420,1420,1420,10
7/11/2001,1420,1440,1440,1440,1440,13
7/12/2001,1440,1450,1400,1450,1450,35
7/13/2001,1450,1500,1500,1500,1500,36
7/16/2001,1500,1500,1500,1500,1500,20
7/17/2001,1500,1475,1475,1475,1475,123
7/18/2001,1475,1489,1489,1489,1489,52
7/20/2001,1489,1470,1400,1400,1400,42
7/23/2001,1400,1440,1420,1420,1420,535
7/24/2001,1420,1440,1440,1440,1440,285
7/25/2001,1440,1440,1430,1430,1430,1020
7/26/2001,1430,1420,1390,1390,1390,668
7/27/2001,1390,1391,1380,1391,1391,2821
8/3/2001,1391,1050,1050,1050,1050,100
8/6/2001,1050,1050,1050,1050,1050,162
8/10/2001,1050,1100,1100,1100,1100,206
8/13/2001,1100,1100,1075,1075,1075,78
8/14/2001,1075,1060,1050,1050,1050,397
8/15/2001,1050,1050,1048,1050,1050,492
8/16/2001,1050,1047,1047,1047,1047,100
