Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,632,652,630,645,2.06,3483
3/13/2013,645,660,650,660,2.33,523
3/14/2013,660,680,653,680,3.03,2852
3/17/2013,680,688,673,680,0,1952
3/18/2013,680,680,670,680,0,819
3/19/2013,680,694,680,686,0.88,474
3/20/2013,686,673,673,673,-1.9,781
3/21/2013,673,693,666,666,-1.04,924
3/24/2013,666,670,640,652,-2.1,1488
3/25/2013,652,665,647,665,1.99,520
3/27/2013,665,675,656,665,0,596
3/28/2013,665,675,652,652,-1.95,1635
3/31/2013,652,659,648,650,-0.31,597
4/1/2013,650,645,637,640,-1.54,2200
4/2/2013,640,645,635,641,0.16,1725
4/3/2013,641,652,636,640,-0.16,2128
4/4/2013,640,641,631,638,-0.31,926
4/7/2013,638,645,636,639,0.16,1254
4/8/2013,639,650,638,641,0.31,963
4/9/2013,641,703,640,685,6.86,5896
4/11/2013,685,744,685,727,6.13,6685
4/15/2013,727,760,720,758,4.26,3605
4/16/2013,758,753,739,753,-0.66,2554
4/17/2013,753,751,738,738,-1.99,738
4/18/2013,738,733,701,710,-3.79,1677
4/21/2013,710,710,697,705,-0.7,741
4/22/2013,705,703,689,702,-0.43,560
4/23/2013,702,715,686,700,-0.28,7895
4/25/2013,700,706,686,705,0.71,2462
4/28/2013,705,719,695,699,-0.85,1420
4/29/2013,699,708,678,695,-0.57,2872
4/30/2013,695,695,626,626,-9.93,13940
5/2/2013,626,615,564,564,-9.9,8316
5/5/2013,564,555,508,508,-9.93,11463
5/6/2013,508,521,458,521,2.56,293777
5/7/2013,521,558,496,530,1.73,29919
5/8/2013,530,543,490,532,0.38,140540
5/9/2013,145,145,145,145,0,135
5/22/2013,145,159,152,159,9.66,40
5/23/2013,159,174,162,174,9.43,60
5/26/2013,174,191,177,191,9.77,120
5/27/2013,191,204,185,185,-3.14,3065
5/28/2013,185,182,170,170,-8.11,3812
5/30/2013,170,177,170,177,4.12,1153
6/2/2013,177,176,173,176,-0.56,1170
6/3/2013,176,174,172,173,-1.7,2302
6/4/2013,173,170,170,170,-1.73,20
6/5/2013,170,173,168,168,-1.18,937
6/6/2013,168,168,165,166,-1.19,1250
6/9/2013,166,166,164,164,-1.2,425
6/10/2013,164,168,163,168,2.44,3093
6/11/2013,168,165,165,165,-1.79,240
6/12/2013,165,165,161,162,-1.82,3937
6/13/2013,162,162,162,162,0,602
6/16/2013,162,162,159,162,0,252
6/18/2013,162,163,161,163,0.62,696
6/19/2013,163,165,162,162,-0.61,271
6/20/2013,162,162,159,162,0,200
6/23/2013,162,159,156,156,-3.7,200
6/24/2013,156,155,150,150,-3.85,1088
6/25/2013,150,152,146,149,-0.67,4291
6/26/2013,149,156,150,153,2.68,2618
6/27/2013,153,160,153,157,2.61,1660
6/30/2013,157,161,157,161,2.55,1507
7/1/2013,161,160,158,158,-1.86,3204
7/2/2013,158,158,152,155,-1.9,2012
7/3/2013,155,159,156,159,2.58,1080
7/4/2013,159,162,158,159,0,641
7/7/2013,159,157,157,157,-1.26,15
7/8/2013,157,155,151,154,-1.91,425
7/9/2013,154,159,157,157,1.95,940
7/10/2013,157,160,160,160,1.91,1169
7/11/2013,160,163,160,160,0,741
7/14/2013,160,172,159,172,7.5,239
7/15/2013,172,171,169,171,-0.58,110
7/18/2013,171,168,165,165,-3.51,95
7/21/2013,165,162,155,155,-6.06,1141
7/22/2013,155,153,150,150,-3.23,2360
7/23/2013,150,154,147,154,2.67,1246
7/24/2013,154,155,152,155,0.65,1423
7/25/2013,155,161,158,158,1.94,2518
7/28/2013,158,163,158,160,1.27,1824
7/29/2013,160,163,162,163,1.88,1196
7/30/2013,163,169,165,169,3.68,690
7/31/2013,169,171,167,171,1.18,1821
8/1/2013,171,180,174,175,2.34,4726
8/4/2013,175,182,178,182,4,653
8/5/2013,182,179,176,176,-3.3,143
8/6/2013,176,175,172,172,-2.27,391
8/7/2013,172,175,170,171,-0.58,1481
8/8/2013,171,171,168,168,-1.75,2231
8/11/2013,168,165,156,156,-7.14,1563
8/12/2013,156,162,155,162,3.85,1832
8/13/2013,162,168,159,159,-1.85,3641
8/14/2013,159,160,157,160,0.63,1093
8/15/2013,160,160,157,157,-1.88,614
8/18/2013,157,163,158,159,1.27,3189
8/19/2013,159,163,158,163,2.52,713
8/20/2013,163,166,161,166,1.84,1102
8/25/2013,166,163,160,161,-3.01,556
8/26/2013,161,167,159,167,3.73,1924
8/27/2013,167,167,165,167,0,767
8/29/2013,167,171,165,170,1.8,859
9/1/2013,170,169,167,169,-0.59,156
9/2/2013,169,171,167,169,0,1333
9/3/2013,169,171,165,165,-2.37,1851
9/4/2013,165,169,164,169,2.42,3643
9/5/2013,169,169,166,169,0,1176
9/8/2013,169,172,169,169,0,1231
9/9/2013,169,172,166,169,0,2047
9/10/2013,169,175,166,166,-1.78,660
9/11/2013,166,168,163,163,-1.81,1849
9/12/2013,163,162,160,160,-1.84,600
9/15/2013,160,166,163,166,3.75,282
9/16/2013,166,163,157,157,-5.42,329
9/17/2013,157,161,154,161,2.55,507
9/19/2013,161,162,157,160,-0.62,1948
9/22/2013,160,160,157,158,-1.25,560
9/23/2013,158,155,155,155,-1.9,471
9/24/2013,155,157,152,157,1.29,1180
9/25/2013,157,166,156,161,2.55,6778
9/26/2013,161,173,162,164,1.86,10220
9/29/2013,164,165,163,163,-0.61,3030
9/30/2013,163,167,164,164,0.61,1537
10/1/2013,164,166,157,157,-4.27,8349
10/2/2013,157,157,150,154,-1.91,52517
10/3/2013,154,154,149,154,0,8108
10/6/2013,154,158,153,157,1.95,12146
10/7/2013,157,162,156,157,0,18733
10/8/2013,157,159,155,155,-1.27,15100
10/9/2013,155,155,152,155,0,17525
