Date,Open,High,Low,Close,Percent Change,Volume
7/14/2013,750,504,477,504,-32.8,40
7/15/2013,504,554,529,554,9.92,40
7/17/2013,554,609,565,609,9.93,150
7/18/2013,609,669,621,669,9.85,1706
7/21/2013,669,735,682,735,9.87,12269
7/22/2013,735,808,736,748,1.77,50250
7/23/2013,748,750,736,737,-1.47,23541
7/24/2013,737,739,697,710,-3.66,25879
7/25/2013,710,705,690,697,-1.83,12985
7/28/2013,697,705,690,700,0.43,12444
7/29/2013,700,714,700,713,1.86,12604
7/30/2013,713,739,710,733,2.81,11888
7/31/2013,733,743,720,732,-0.14,16045
8/1/2013,732,746,722,726,-0.82,16832
8/4/2013,726,730,710,710,-2.2,13593
8/5/2013,710,710,690,702,-1.13,10674
8/6/2013,702,707,662,700,-0.28,10700
8/7/2013,700,707,686,690,-1.43,9805
8/8/2013,690,690,670,670,-2.9,21368
8/11/2013,670,670,660,663,-1.04,6558
8/12/2013,663,664,655,657,-0.9,5132
8/13/2013,657,665,650,658,0.15,4580
8/14/2013,658,655,628,628,-4.56,10225
8/15/2013,628,628,604,614,-2.23,10293
8/18/2013,614,642,614,638,3.91,8933
8/19/2013,638,649,632,640,0.31,4023
8/20/2013,640,652,635,647,1.09,11568
8/25/2013,647,647,638,644,-0.46,6208
8/26/2013,644,645,628,631,-2.02,6237
8/27/2013,631,650,626,640,1.43,11433
8/29/2013,640,645,631,638,-0.31,23136
9/1/2013,638,638,630,635,-0.47,7678
9/2/2013,635,641,626,635,0,10758
9/3/2013,635,638,629,630,-0.79,20263
9/4/2013,630,642,622,625,-0.79,3978
9/5/2013,625,625,621,625,0,4271
9/8/2013,625,634,620,621,-0.64,21774
9/9/2013,621,634,620,633,1.93,8818
9/10/2013,633,638,620,620,-2.05,5479
9/11/2013,620,625,616,625,0.81,8212
9/12/2013,625,622,619,622,-0.48,1797
9/15/2013,622,623,618,618,-0.64,4941
9/16/2013,618,617,605,615,-0.49,3632
9/17/2013,615,614,608,611,-0.65,6735
9/19/2013,611,610,600,610,-0.16,5987
9/22/2013,610,598,587,594,-2.62,2361
9/23/2013,594,596,584,596,0.34,6184
9/24/2013,596,604,597,603,1.17,5223
9/25/2013,603,598,590,598,-0.83,3376
9/26/2013,598,605,593,594,-0.67,2222
9/29/2013,594,594,588,593,-0.17,5097
9/30/2013,593,590,581,584,-1.52,2382
10/1/2013,584,589,581,584,0,3171
10/2/2013,584,596,579,595,1.88,1017
10/3/2013,595,595,584,595,0,2064
10/6/2013,595,607,587,607,2.02,2617
10/7/2013,607,646,599,622,2.47,431
10/8/2013,622,617,605,615,-1.13,1616
10/9/2013,615,615,595,615,0,944
10/10/2013,615,620,603,620,0.81,2612
10/17/2013,620,647,620,635,2.42,2059
10/20/2013,635,663,635,660,3.94,7738
10/21/2013,660,693,652,666,0.91,9821
10/22/2013,666,665,645,645,-3.15,9367
10/23/2013,645,644,635,640,-0.78,3207
10/24/2013,640,641,630,638,-0.31,4392
