Date,Open,High,Low,Close,Percent Change,Volume
1/4/2012,600,589,558,558,-7,3045
1/5/2012,558,569,569,569,1.97,375
1/12/2012,569,615,580,615,8.08,250
1/16/2012,615,627,627,627,1.95,200
1/17/2012,627,627,615,627,0,80
1/22/2012,627,625,625,625,-0.32,45
1/23/2012,625,627,621,621,-0.64,525
1/26/2012,621,621,621,621,0,376
1/29/2012,621,622,620,622,0.16,150
1/31/2012,622,632,620,632,1.61,250
2/1/2012,632,635,631,631,-0.16,560
2/2/2012,631,631,631,631,0,50
2/5/2012,631,635,632,635,0.63,45
2/6/2012,635,647,647,647,1.89,200
2/7/2012,647,640,635,640,-1.08,1015
2/8/2012,640,640,640,640,0,15
2/14/2012,640,640,635,640,0,45
2/15/2012,640,650,645,645,0.78,43
2/23/2012,645,641,640,641,-0.62,138
2/26/2012,641,642,642,642,0.16,172
2/29/2012,642,654,654,654,1.87,53
3/1/2012,654,650,650,650,-0.61,30
3/4/2012,650,650,650,650,0,108
3/5/2012,650,660,647,650,0,135
3/6/2012,650,660,650,660,1.54,43
3/11/2012,660,660,660,660,0,500
3/12/2012,660,659,647,659,-0.15,28
3/13/2012,659,659,659,659,0,20
3/14/2012,659,655,655,655,-0.61,1250
3/19/2012,655,645,645,645,-1.53,4395
3/20/2012,645,640,640,640,-0.78,27
3/25/2012,640,640,630,630,-1.56,160
3/28/2012,630,640,630,630,0,36107
4/1/2012,630,640,640,640,1.59,1000
4/3/2012,640,640,640,640,0,175
4/4/2012,640,640,630,630,-1.56,25
4/12/2012,630,642,642,642,1.9,20
4/15/2012,642,654,654,654,1.87,10
4/16/2012,654,693,667,693,5.96,40
4/17/2012,693,706,706,706,1.88,13
4/18/2012,706,776,719,776,9.92,95
4/19/2012,776,837,791,829,6.83,894
4/22/2012,829,820,820,820,-1.09,10
4/24/2012,820,846,815,830,1.22,1776
4/25/2012,830,835,830,835,0.6,1500
4/26/2012,835,846,814,820,-1.8,6259
4/29/2012,820,861,820,861,5,3980
5/3/2012,861,861,861,861,0,23
5/8/2012,861,861,861,861,0,305
5/9/2012,861,895,878,895,3.95,60
5/16/2012,895,928,911,928,3.69,80
5/22/2012,928,910,910,910,-1.94,10
5/24/2012,910,945,892,945,3.85,262
5/27/2012,945,963,945,945,0,20
6/10/2012,945,927,927,927,-1.9,15
6/11/2012,927,909,909,909,-1.94,30
6/12/2012,909,927,927,927,1.98,10
6/19/2012,927,909,866,899,-3.02,155
7/2/2012,899,899,899,899,0,60
7/9/2012,899,882,810,810,-9.9,260
7/10/2012,810,794,756,767,-5.31,672
7/11/2012,767,785,774,780,1.69,1195
7/12/2012,780,785,766,785,0.64,185
7/15/2012,785,785,785,785,0,500
7/17/2012,785,804,785,795,1.27,1821
7/18/2012,795,803,795,803,1.01,2060
7/19/2012,803,815,800,815,1.49,1404
7/22/2012,815,846,804,846,3.8,2531
7/23/2012,846,850,830,850,0.47,406
7/24/2012,850,845,833,845,-0.59,1376
7/25/2012,845,840,840,840,-0.59,823
7/26/2012,840,841,841,841,0.12,30
7/30/2012,841,870,848,860,2.26,2877
7/31/2012,860,860,860,860,0,24
8/1/2012,860,865,865,865,0.58,60
8/5/2012,865,865,849,849,-1.85,582
8/6/2012,849,865,864,864,1.77,299
8/7/2012,864,865,865,865,0.12,515
8/12/2012,865,881,865,871,0.69,699
8/13/2012,871,879,865,879,0.92,988
8/14/2012,879,880,866,875,-0.46,1472
8/15/2012,875,878,870,870,-0.57,814
8/16/2012,870,885,870,885,1.72,712
8/19/2012,885,885,875,876,-1.02,928
8/21/2012,876,875,870,870,-0.68,2577
8/22/2012,870,870,865,870,0,72
8/23/2012,870,890,885,890,2.3,132
8/27/2012,890,890,875,875,-1.69,3835
8/28/2012,875,880,874,880,0.57,1115
9/5/2012,880,914,897,914,3.86,536
9/6/2012,914,1002,932,1002,9.63,4495
9/9/2012,1002,1102,1022,1102,9.98,4094
9/10/2012,1102,1212,1124,1212,9.98,2980
9/11/2012,1212,1300,1155,1285,6.02,10220
9/12/2012,1285,1260,1200,1223,-4.82,9373
9/13/2012,1223,1255,1200,1239,1.31,2843
9/16/2012,1239,1269,1200,1269,2.42,1438
9/17/2012,1269,1244,1200,1200,-5.44,2643
9/18/2012,1200,1224,1177,1200,0,2316
9/19/2012,1200,1200,1188,1188,-1,190
