Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,281,283,278,283,0.71,4052
3/13/2013,283,291,284,291,2.83,2206
3/14/2013,291,309,287,289,-0.69,5649
3/17/2013,289,284,279,279,-3.46,4748
3/18/2013,279,280,270,276,-1.08,1917
3/19/2013,276,280,275,279,1.09,1883
3/20/2013,279,282,282,282,1.08,157
3/21/2013,282,277,275,276,-2.13,1881
3/24/2013,276,272,271,271,-1.81,429
3/25/2013,271,273,266,271,0,3002
3/27/2013,271,280,265,280,3.32,10450
3/28/2013,280,280,271,275,-1.79,1303
3/31/2013,275,270,261,265,-3.64,2327
4/1/2013,265,272,261,268,1.13,1425
4/2/2013,268,270,268,270,0.75,1371
4/3/2013,270,271,266,269,-0.37,2560
4/4/2013,269,268,266,268,-0.37,953
4/7/2013,268,269,268,269,0.37,600
4/8/2013,269,274,267,272,1.12,2008
4/9/2013,272,273,269,273,0.37,1207
4/11/2013,273,276,270,270,-1.1,5995
4/15/2013,270,280,272,273,1.11,4424
4/16/2013,273,272,267,267,-2.2,4241
4/17/2013,267,270,264,264,-1.12,4580
4/18/2013,264,270,265,270,2.27,573
4/21/2013,270,265,255,265,-1.85,5158
4/23/2013,265,269,257,257,-3.02,2847
4/25/2013,257,260,252,254,-1.17,2714
4/28/2013,254,262,255,260,2.36,13831
4/29/2013,260,259,253,255,-1.92,2956
4/30/2013,255,257,252,255,0,5609
5/2/2013,255,255,250,250,-1.96,1502
5/5/2013,250,253,249,249,-0.4,1013
5/6/2013,249,249,241,247,-0.8,1751
5/7/2013,247,258,244,253,2.43,4635
5/8/2013,253,251,246,250,-1.19,1941
5/9/2013,250,252,247,248,-0.8,1331
5/12/2013,248,250,248,248,0,3191
5/13/2013,248,252,248,252,1.61,5516
5/14/2013,252,253,246,253,0.4,4249
5/15/2013,253,255,252,252,-0.4,7507
5/16/2013,252,253,253,253,0.4,1200
5/19/2013,253,250,250,250,-1.19,96
5/20/2013,250,251,250,250,0,1017
5/21/2013,250,251,250,250,0,773
5/22/2013,250,252,248,250,0,792
5/23/2013,250,250,244,244,-2.4,856
5/26/2013,244,246,242,246,0.82,3064
5/27/2013,246,250,246,249,1.22,5578
5/28/2013,249,252,247,250,0.4,7686
5/30/2013,250,248,245,246,-1.6,2655
6/2/2013,246,248,240,240,-2.44,3041
6/3/2013,240,248,242,248,3.33,1920
6/4/2013,248,249,244,244,-1.61,2617
6/5/2013,244,250,244,247,1.23,1118
6/6/2013,247,247,247,247,0,500
6/9/2013,247,250,245,246,-0.4,1210
6/10/2013,246,250,246,250,1.63,4373
6/12/2013,250,250,247,249,-0.4,845
6/13/2013,249,246,242,246,-1.2,1907
6/16/2013,246,246,246,246,0,96
6/17/2013,246,246,244,244,-0.81,1132
6/18/2013,244,245,242,242,-0.82,854
6/19/2013,242,242,240,241,-0.41,1767
6/20/2013,241,241,239,240,-0.41,4409
6/23/2013,240,240,240,240,0,100
6/24/2013,240,245,240,245,2.08,1277
6/25/2013,245,252,243,252,2.86,2322
6/26/2013,252,255,250,253,0.4,7635
6/27/2013,253,255,245,245,-3.16,1894
6/30/2013,245,245,241,241,-1.63,770
7/1/2013,241,245,245,245,1.66,50
7/2/2013,245,244,243,244,-0.41,897
7/3/2013,244,245,243,245,0.41,445
7/4/2013,245,245,240,243,-0.82,2527
7/7/2013,243,243,237,242,-0.41,2211
7/8/2013,242,246,243,246,1.65,552
7/9/2013,246,253,249,252,2.44,1402
7/10/2013,252,256,252,255,1.19,3384
7/11/2013,255,254,251,254,-0.39,841
7/14/2013,254,258,255,255,0.39,606
7/15/2013,255,255,250,252,-1.18,1362
7/16/2013,252,252,248,252,0,560
7/17/2013,252,261,253,261,3.57,732
7/18/2013,261,264,257,264,1.15,6046
7/21/2013,264,279,265,275,4.17,9298
7/22/2013,275,280,265,270,-1.82,5532
7/23/2013,270,275,268,273,1.11,3392
7/24/2013,273,270,268,268,-1.83,209
7/25/2013,268,265,265,265,-1.12,191
7/28/2013,265,269,261,264,-0.38,5278
7/29/2013,264,266,262,264,0,5994
7/30/2013,264,269,262,265,0.38,7464
7/31/2013,265,272,265,265,0,1990
8/1/2013,265,266,262,262,-1.13,4688
8/4/2013,262,274,263,268,2.29,2695
8/5/2013,268,266,260,261,-2.61,2271
8/6/2013,261,262,253,260,-0.38,3233
8/7/2013,260,268,256,256,-1.54,6545
8/8/2013,256,256,250,250,-2.34,3317
8/11/2013,250,260,253,253,1.2,2384
8/12/2013,253,251,249,250,-1.19,1594
8/13/2013,250,250,248,248,-0.8,2064
8/14/2013,248,250,243,247,-0.4,6514
8/15/2013,247,248,246,248,0.4,486
8/18/2013,248,252,248,250,0.81,3589
8/19/2013,250,256,251,256,2.4,2328
8/20/2013,256,260,255,258,0.78,6881
8/25/2013,258,256,254,254,-1.55,929
8/26/2013,254,253,247,247,-2.76,3132
8/27/2013,247,252,246,250,1.21,5267
8/29/2013,250,251,246,248,-0.8,5195
9/1/2013,248,250,245,246,-0.81,3632
9/2/2013,246,248,240,245,-0.41,11536
9/3/2013,245,245,239,243,-0.82,9537
9/4/2013,243,241,235,241,-0.82,18092
9/5/2013,241,243,235,242,0.41,37264
9/8/2013,242,244,235,239,-1.24,20639
9/9/2013,239,244,237,244,2.09,6195
9/10/2013,244,245,244,244,0,1591
9/11/2013,244,247,240,244,0,3468
9/12/2013,244,245,244,245,0.41,844
9/15/2013,245,246,239,244,-0.41,2496
9/16/2013,244,244,240,241,-1.23,1118
9/17/2013,241,248,240,248,2.9,1612
9/19/2013,248,245,243,243,-2.02,795
9/22/2013,243,243,240,242,-0.41,1804
9/23/2013,242,242,240,240,-0.83,1037
9/24/2013,240,243,240,243,1.25,758
9/25/2013,243,243,237,242,-0.41,14358
9/26/2013,242,243,243,243,0.41,233
9/29/2013,243,247,235,247,1.65,56969
9/30/2013,247,247,236,245,-0.81,14534
10/1/2013,245,244,235,244,-0.41,11001
10/2/2013,244,244,241,241,-1.23,671
10/3/2013,241,243,241,243,0.83,695
10/6/2013,243,241,237,240,-1.23,2800
10/7/2013,240,250,244,247,2.92,1640
10/8/2013,247,252,245,248,0.4,2473
10/9/2013,248,255,247,255,2.82,1392
10/10/2013,255,260,254,260,1.96,3241
10/20/2013,260,263,260,261,0.38,6968
10/21/2013,261,270,261,264,1.15,5057
10/22/2013,264,260,255,255,-3.41,579
10/23/2013,255,255,250,255,0,2486
10/24/2013,255,253,250,253,-0.78,4242
10/27/2013,253,251,249,250,-1.19,2131
10/28/2013,250,250,247,247,-1.2,543
10/29/2013,247,251,247,249,0.81,3232
10/30/2013,249,254,253,253,1.61,1125
10/31/2013,253,252,250,250,-1.19,2191
11/6/2013,250,255,253,255,2,427
11/7/2013,255,254,250,254,-0.39,2362
11/10/2013,254,259,253,256,0.79,2565
11/11/2013,256,264,258,264,3.12,7542
11/12/2013,264,277,264,268,1.52,7733
11/13/2013,268,276,264,264,-1.49,11824
11/14/2013,264,267,258,260,-1.52,24212
11/21/2013,260,270,260,270,3.85,10240
11/24/2013,270,297,275,297,10,64132
11/25/2013,297,307,285,298,0.34,75881
11/26/2013,298,310,297,304,2.01,31218
11/27/2013,304,305,298,305,0.33,15650
11/28/2013,305,310,298,303,-0.66,50599
12/1/2013,303,300,294,294,-2.97,2637
12/2/2013,294,300,290,295,0.34,5420
12/3/2013,295,317,295,317,7.46,4604
12/4/2013,317,348,315,348,9.78,115112
12/5/2013,348,372,342,360,3.45,58150
12/8/2013,360,360,340,345,-4.17,3811
12/9/2013,345,351,339,339,-1.74,4423
12/10/2013,339,341,334,335,-1.18,4929
12/11/2013,335,360,341,355,5.97,7487
12/12/2013,355,385,360,373,5.07,4505
12/15/2013,373,400,373,397,6.43,8969
12/16/2013,397,432,398,432,8.82,4553
12/18/2013,432,475,440,475,9.95,27711
12/19/2013,475,466,448,460,-3.16,6038
12/22/2013,460,455,422,430,-6.52,4651
12/23/2013,430,424,387,388,-9.77,2363
12/24/2013,388,410,381,395,1.8,12318
12/26/2013,395,423,402,405,2.53,13158
12/29/2013,405,405,395,398,-1.73,6106
12/31/2013,398,402,395,395,-0.75,3159
1/1/2014,395,388,372,378,-4.3,3818
1/2/2014,378,399,361,395,4.5,1657
1/5/2014,395,394,388,394,-0.25,4326
1/6/2014,394,390,385,390,-1.02,2269
1/7/2014,390,396,386,394,1.03,4680
1/8/2014,394,411,393,402,2.03,6090
1/9/2014,402,402,398,402,0,1663
1/12/2014,402,410,400,410,1.99,3948
1/13/2014,410,418,410,410,0,5931
1/14/2014,410,425,404,420,2.44,13752
1/16/2014,420,442,412,420,0,6222
1/19/2014,420,415,408,412,-1.9,3208
1/20/2014,412,415,405,407,-1.21,5788
1/21/2014,407,430,408,410,0.74,4578
1/22/2014,410,410,403,408,-0.49,6104
1/23/2014,408,412,406,406,-0.49,3626
1/26/2014,406,408,400,401,-1.23,20675
1/27/2014,401,400,390,393,-2,8510
1/28/2014,393,410,393,403,2.54,10034
1/29/2014,403,405,400,405,0.5,2909
2/2/2014,405,405,393,396,-2.22,5756
2/3/2014,396,395,383,383,-3.28,2270
2/4/2014,383,402,380,396,3.39,8903
2/5/2014,396,401,390,399,0.76,7782
