Date,Open,High,Low,Close,Percent Change,Volume
1/4/2015,207,227,211,227,9.66,50
1/5/2015,227,249,231,249,9.69,102303
1/6/2015,249,273,253,273,9.64,170924
1/7/2015,273,288,268,271,-0.73,199210
1/8/2015,271,276,268,271,0,52836
1/11/2015,271,271,263,265,-2.21,45356
1/12/2015,265,267,261,267,0.75,39542
1/13/2015,267,268,257,265,-0.75,27085
1/14/2015,265,271,263,269,1.51,17178
1/18/2015,269,294,271,294,9.29,189547
1/19/2015,294,323,294,303,3.06,95482
1/20/2015,303,311,285,299,-1.32,54658
1/22/2015,299,299,290,297,-0.67,31974
1/25/2015,297,302,295,300,1.01,32235
1/26/2015,300,315,297,304,1.33,108179
1/27/2015,304,306,300,302,-0.66,138206
1/28/2015,302,312,300,307,1.66,70550
1/29/2015,307,313,299,304,-0.98,113634
2/1/2015,304,334,306,326,7.24,177083
2/2/2015,326,328,314,317,-2.76,87493
2/3/2015,317,320,314,315,-0.63,27634
2/4/2015,315,315,309,313,-0.63,34499
2/5/2015,313,314,306,314,0.32,29629
2/8/2015,314,319,310,313,-0.32,63109
2/9/2015,313,315,310,313,0,63959
2/10/2015,313,316,309,312,-0.32,49865
2/11/2015,312,315,303,311,-0.32,47362
2/12/2015,311,312,308,311,0,28198
2/15/2015,311,315,310,315,1.29,44909
2/16/2015,315,323,310,323,2.54,88333
2/19/2015,323,335,321,335,3.72,134332
2/22/2015,335,343,327,330,-1.49,94575
2/23/2015,330,331,315,330,0,77796
2/24/2015,330,335,323,332,0.61,48684
2/25/2015,332,335,328,335,0.9,37210
2/26/2015,335,343,335,340,1.49,27430
3/1/2015,349,360,346,350,0.29,92783
3/2/2015,350,350,345,349,-0.29,30148
3/3/2015,349,348,342,343,-1.72,25611
3/4/2015,343,354,338,341,-0.58,42694
3/9/2015,341,353,344,347,1.76,73654
3/10/2015,347,348,339,340,-2.02,79413
3/11/2015,340,345,341,343,0.59,20898
3/12/2015,342,348,340,342,0,26536
3/15/2015,342,342,335,340,-0.58,13347
3/16/2015,340,340,332,334,-1.76,7644
3/17/2015,334,341,329,340,1.8,14725
3/18/2015,340,340,335,336,-1.18,5868
3/19/2015,336,344,338,339,0.89,14209
3/22/2015,339,346,332,332,-2.06,8570
3/23/2015,332,340,329,330,-0.6,20269
3/24/2015,330,330,326,328,-0.61,67872
3/25/2015,328,330,325,329,0.3,9668
3/26/2015,329,331,324,331,0.61,43881
3/29/2015,331,333,325,330,-0.3,9720
3/30/2015,330,335,325,328,-0.61,13795
3/31/2015,328,336,325,332,1.22,21375
4/1/2015,332,333,327,328,-1.2,7796
4/2/2015,328,336,328,331,0.91,82404
4/5/2015,331,336,329,335,1.21,9048
4/6/2015,335,335,330,334,-0.3,8859
4/7/2015,334,340,331,336,0.6,12508
4/8/2015,336,343,332,342,1.79,22579
4/9/2015,342,352,339,352,2.92,35860
4/12/2015,352,362,348,361,2.56,34519
4/13/2015,361,357,347,353,-2.22,18412
4/15/2015,353,360,347,348,-1.42,5182
4/16/2015,348,351,345,350,0.57,5886
4/19/2015,350,358,344,344,-1.71,15309
4/20/2015,344,350,344,348,1.16,25947
4/21/2015,348,357,346,350,0.57,69861
4/22/2015,350,356,346,349,-0.29,4108
4/23/2015,352,355,345,345,-1.99,15828
5/24/2015,345,339,311,311,-9.86,110
5/25/2015,311,305,280,280,-9.97,3527
5/26/2015,280,304,270,287,2.5,33239
5/27/2015,287,286,275,280,-2.44,9613
5/28/2015,280,300,275,295,5.36,25968
5/31/2015,295,311,297,310,5.08,28021
6/1/2015,310,326,308,315,1.61,25940
6/2/2015,315,321,310,321,1.9,14742
6/3/2015,321,332,320,327,1.87,16535
6/4/2015,327,337,321,321,-1.83,23373
6/7/2015,321,332,321,331,3.12,40127
6/8/2015,331,349,332,340,2.72,44051
6/9/2015,340,359,340,346,1.76,40846
6/10/2015,346,345,336,339,-2.02,28548
6/11/2015,339,340,330,334,-1.47,14059
6/14/2015,334,339,325,329,-1.5,7684
6/15/2015,329,335,323,328,-0.3,14482
6/16/2015,328,330,325,327,-0.3,12651
6/17/2015,327,334,324,329,0.61,41105
6/18/2015,329,335,324,324,-1.52,14249
6/21/2015,324,326,320,323,-0.31,5825
6/23/2015,324,327,323,325,-0.31,7229
6/24/2015,321,329,321,327,0.62,14749
6/25/2015,329,332,323,327,0,15304
6/28/2015,333,333,324,324,-0.92,23180
6/29/2015,321,329,320,323,-0.31,24960
6/30/2015,324,324,316,320,-0.93,14535
7/1/2015,326,326,320,323,0.94,7123
7/2/2015,323,323,316,318,-1.55,6419
7/5/2015,316,323,315,317,-0.31,6756
7/6/2015,311,318,310,315,-0.63,16946
7/7/2015,315,320,312,318,0.95,20351
7/8/2015,324,336,324,330,3.77,34472
7/9/2015,330,340,329,331,0.3,77704
7/12/2015,336,336,326,331,0,14531
7/13/2015,331,334,330,333,0.6,14167
7/14/2015,333,338,330,338,1.5,12223
7/15/2015,338,348,338,340,0.59,46656
7/16/2015,340,348,341,348,2.35,12066
7/22/2015,350,360,350,357,2.59,41410
7/23/2015,357,376,357,370,3.64,47383
7/26/2015,370,407,377,407,10,100052
7/27/2015,407,431,385,386,-5.16,98678
7/28/2015,386,400,370,385,-0.26,43338
7/29/2015,385,385,371,377,-2.08,11324
7/30/2015,377,390,370,378,0.27,29557
8/2/2015,378,390,373,388,2.65,14130
8/3/2015,388,390,381,389,0.26,32041
8/4/2015,389,394,383,384,-1.29,22976
8/5/2015,384,386,375,385,0.26,25304
8/6/2015,385,395,378,388,0.78,19735
8/9/2015,388,406,390,395,1.8,54049
8/10/2015,395,402,390,395,0,42658
8/11/2015,395,399,385,393,-0.51,22817
8/12/2015,395,395,375,382,-2.8,27437
8/13/2015,381,388,376,387,1.31,38761
8/16/2015,380,387,365,370,-4.39,50071
8/17/2015,377,407,377,407,10,75252
8/18/2015,415,438,408,437,7.13,64366
8/19/2015,440,454,435,452,3.67,70388
8/20/2015,461,497,461,470,3.98,151985
8/23/2015,466,474,447,457,-2.77,114929
8/24/2015,464,464,455,460,0.66,61147
8/25/2015,451,456,440,451,-1.96,84902
8/26/2015,455,466,446,450,-0.22,48053
8/27/2015,452,459,445,449,-0.22,44253
8/31/2015,451,451,440,442,-1.56,43583
9/1/2015,442,450,436,438,-0.9,55254
9/2/2015,443,443,430,433,-1.14,34816
9/3/2015,433,436,430,433,0,15035
9/6/2015,425,436,415,421,-2.77,122545
9/7/2015,428,429,426,426,1.19,12048
