Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,280,285,278,282,0.71,4886
3/13/2013,282,293,286,293,3.9,10454
3/14/2013,293,303,287,289,-1.37,13305
3/17/2013,289,290,277,284,-1.73,5955
3/18/2013,284,283,275,280,-1.41,4825
3/19/2013,280,281,275,279,-0.36,19520
3/20/2013,279,280,277,280,0.36,2803
3/21/2013,280,278,270,275,-1.79,7134
3/24/2013,275,279,270,270,-1.82,5653
3/25/2013,270,276,267,270,0,22601
3/27/2013,270,284,270,271,0.37,7430
3/28/2013,271,291,268,270,-0.37,9092
3/31/2013,270,274,261,265,-1.85,15782
4/1/2013,265,269,255,268,1.13,8635
4/2/2013,268,277,269,273,1.87,8062
4/3/2013,273,274,271,272,-0.37,3689
4/4/2013,272,271,268,271,-0.37,2700
4/7/2013,271,275,270,271,0,4380
4/8/2013,271,277,266,266,-1.85,22410
4/9/2013,266,278,271,277,4.14,1790
4/11/2013,277,285,274,277,0,5182
4/15/2013,277,282,277,277,0,4577
4/16/2013,277,283,272,281,1.44,3577
4/17/2013,281,279,271,279,-0.71,1184
4/18/2013,279,279,272,273,-2.15,2233
4/21/2013,273,282,272,277,1.47,190
4/22/2013,277,272,256,262,-5.42,7921
4/23/2013,262,270,265,269,2.67,4795
4/25/2013,269,272,264,264,-1.86,11016
4/28/2013,264,267,250,261,-1.14,9601
4/30/2013,261,266,257,258,-1.15,2425
5/2/2013,258,263,249,250,-3.1,4017
5/5/2013,250,257,250,250,0,3383
5/6/2013,250,248,240,245,-2,5220
5/7/2013,245,258,249,258,5.31,4985
5/8/2013,258,262,252,252,-2.33,1550
5/9/2013,252,259,248,249,-1.19,4738
5/12/2013,249,262,245,248,-0.4,9843
5/13/2013,248,253,248,250,0.81,6064
5/14/2013,250,258,250,253,1.2,6219
5/15/2013,253,261,251,253,0,7772
5/16/2013,253,257,253,254,0.4,1600
5/19/2013,254,264,250,254,0,2687
5/20/2013,254,252,241,252,-0.79,3852
5/21/2013,252,256,248,254,0.79,4080
5/22/2013,254,255,249,253,-0.39,3590
5/23/2013,253,251,250,251,-0.79,687
5/26/2013,251,250,247,250,-0.4,1289
5/27/2013,250,255,250,255,2,3107
5/28/2013,255,252,250,252,-1.18,1143
5/30/2013,252,250,247,248,-1.59,3751
6/2/2013,248,252,248,250,0.81,2762
6/3/2013,250,251,247,251,0.4,1202
6/4/2013,251,255,255,255,1.59,10
6/5/2013,255,250,245,248,-2.75,4414
6/6/2013,248,248,245,245,-1.21,1251
6/9/2013,245,253,245,250,2.04,9566
6/10/2013,250,250,244,245,-2,5271
6/11/2013,245,248,240,248,1.22,2021
6/12/2013,248,246,244,246,-0.81,2025
6/13/2013,246,247,239,247,0.41,3895
6/16/2013,247,248,245,248,0.4,1510
6/17/2013,248,248,244,244,-1.61,1160
6/18/2013,244,248,240,244,0,1756
6/19/2013,244,245,241,245,0.41,1785
6/20/2013,245,249,240,246,0.41,2991
6/23/2013,246,244,240,242,-1.63,4187
6/24/2013,242,245,242,244,0.83,5107
6/25/2013,244,250,243,247,1.23,9129
6/26/2013,247,254,245,254,2.83,6891
6/27/2013,254,251,248,249,-1.97,1466
6/30/2013,249,247,244,247,-0.8,4036
7/1/2013,247,246,243,245,-0.81,3346
7/2/2013,245,255,246,255,4.08,627
7/3/2013,255,250,242,243,-4.71,2548
7/4/2013,243,247,241,247,1.65,5831
7/7/2013,247,249,244,246,-0.4,5281
7/8/2013,246,248,242,244,-0.81,7172
7/9/2013,244,256,248,255,4.51,2689
7/10/2013,255,266,258,266,4.31,1158
7/11/2013,266,261,252,258,-3.01,3654
7/14/2013,258,259,253,258,0,3455
7/15/2013,258,263,257,260,0.78,1655
7/16/2013,260,255,255,255,-1.92,381
7/17/2013,255,255,250,255,0,3290
7/18/2013,255,263,258,262,2.75,4429
7/21/2013,262,272,262,265,1.15,4495
7/22/2013,265,268,250,255,-3.77,4436
7/23/2013,255,260,252,256,0.39,10111
7/24/2013,256,260,252,253,-1.17,10308
7/25/2013,253,255,252,255,0.79,2700
7/28/2013,255,258,251,253,-0.78,11049
7/29/2013,253,256,251,256,1.19,5968
7/30/2013,256,260,252,260,1.56,8963
7/31/2013,260,262,256,259,-0.38,4683
8/1/2013,259,256,253,254,-1.93,3062
8/4/2013,254,260,252,260,2.36,7095
8/5/2013,260,255,250,250,-3.85,21893
8/6/2013,250,256,240,256,2.4,16582
8/7/2013,256,255,250,255,-0.39,5078
8/8/2013,255,253,247,250,-1.96,5383
8/11/2013,250,250,248,250,0,251
8/12/2013,250,250,245,245,-2,7938
8/13/2013,245,246,242,243,-0.82,15201
8/14/2013,243,247,244,245,0.82,3143
8/15/2013,245,245,242,244,-0.41,3206
8/18/2013,244,253,244,249,2.05,17886
8/19/2013,249,260,250,260,4.42,5934
8/20/2013,260,265,255,258,-0.77,9717
8/25/2013,258,259,255,258,0,5983
8/26/2013,258,258,254,255,-1.16,5777
8/27/2013,255,255,250,252,-1.18,4899
8/29/2013,252,253,252,253,0.4,1770
9/1/2013,253,251,248,251,-0.79,7847
9/2/2013,251,252,246,251,0,7320
9/3/2013,251,255,248,250,-0.4,9196
9/4/2013,250,258,249,253,1.2,8715
9/5/2013,253,258,251,253,0,2984
9/8/2013,253,268,255,259,2.37,17069
9/9/2013,259,261,256,259,0,2634
9/10/2013,259,265,257,258,-0.39,3085
9/11/2013,258,263,254,259,0.39,13170
9/12/2013,259,265,256,261,0.77,4691
9/15/2013,261,260,258,260,-0.38,1966
9/16/2013,260,265,259,262,0.77,3160
9/17/2013,262,265,261,264,0.76,3505
9/19/2013,264,266,258,260,-1.52,8940
9/22/2013,260,261,257,258,-0.77,10163
9/23/2013,258,262,256,260,0.78,10804
9/24/2013,260,261,258,261,0.38,4296
9/25/2013,261,263,255,258,-1.15,20584
9/26/2013,258,259,255,259,0.39,16525
