Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,864,875,859,869,0.58,5361
3/13/2013,869,882,860,878,1.04,7256
3/14/2013,878,900,860,876,-0.23,5173
3/17/2013,876,860,850,853,-2.63,2674
3/18/2013,853,857,841,851,-0.23,1122
3/19/2013,851,860,846,858,0.82,1775
3/20/2013,858,860,840,841,-1.98,3855
3/21/2013,841,846,840,840,-0.12,2059
3/24/2013,840,838,815,838,-0.24,16454
3/25/2013,838,845,830,845,0.84,2026
3/27/2013,845,861,835,840,-0.59,1334
3/28/2013,840,835,820,835,-0.6,4685
3/31/2013,835,822,804,805,-3.59,4621
4/1/2013,805,815,785,810,0.62,4452
4/2/2013,810,830,803,830,2.47,2028
4/3/2013,830,842,810,828,-0.24,2423
4/4/2013,828,830,820,821,-0.85,2144
4/7/2013,821,833,800,828,0.85,3650
4/8/2013,828,828,821,828,0,2325
4/9/2013,828,839,822,832,0.48,2766
4/11/2013,832,847,816,842,1.2,3252
4/15/2013,842,859,846,852,1.19,5901
4/16/2013,852,854,845,854,0.23,3495
4/17/2013,854,869,845,855,0.12,7596
4/18/2013,855,872,850,872,1.99,2350
4/21/2013,872,855,820,832,-4.59,3515
4/22/2013,832,864,816,846,1.68,7452
4/23/2013,846,855,836,847,0.12,13849
4/25/2013,847,850,824,840,-0.83,2405
4/28/2013,840,840,826,831,-1.07,6156
4/29/2013,831,838,820,837,0.72,3066
4/30/2013,837,836,830,833,-0.48,4314
5/2/2013,833,823,808,816,-2.04,4721
5/5/2013,816,820,800,805,-1.35,1476
5/6/2013,805,802,791,800,-0.62,2058
5/7/2013,800,831,775,821,2.62,5414
5/8/2013,821,821,810,813,-0.97,4447
5/9/2013,813,810,801,810,-0.37,587
5/12/2013,810,820,800,810,0,1487
5/13/2013,810,815,802,812,0.25,2893
5/14/2013,812,818,800,818,0.74,2063
5/15/2013,818,831,818,825,0.86,674
5/16/2013,825,840,828,830,0.61,963
5/19/2013,830,841,814,828,-0.24,3373
5/20/2013,828,842,820,820,-0.97,4006
5/21/2013,820,826,815,821,0.12,2479
5/22/2013,821,833,816,820,-0.12,3909
5/23/2013,820,820,817,817,-0.37,1167
5/26/2013,817,825,815,825,0.98,3228
5/27/2013,825,827,820,827,0.24,300
5/28/2013,827,833,828,831,0.48,1652
5/30/2013,831,832,820,825,-0.72,2214
6/2/2013,825,825,811,820,-0.61,4095
6/3/2013,820,821,820,820,0,142
6/4/2013,820,827,812,822,0.24,2453
6/5/2013,822,824,819,824,0.24,2001
6/6/2013,824,825,821,824,0,1476
6/9/2013,824,825,818,820,-0.49,1341
6/10/2013,820,824,814,817,-0.37,1735
6/11/2013,817,818,814,817,0,1608
6/12/2013,817,822,810,821,0.49,2800
6/13/2013,821,820,810,815,-0.73,1783
6/16/2013,815,813,811,813,-0.25,462
6/17/2013,813,824,816,824,1.35,132
6/18/2013,824,824,801,811,-1.58,1083
6/19/2013,811,813,806,813,0.25,1415
6/20/2013,813,816,811,816,0.37,2695
6/23/2013,816,814,808,808,-0.98,1955
6/24/2013,808,815,810,815,0.87,1176
6/25/2013,815,822,812,822,0.86,1508
6/26/2013,822,839,829,830,0.97,2130
6/27/2013,830,830,820,824,-0.72,898
6/30/2013,824,819,815,816,-0.97,3756
7/1/2013,816,822,815,821,0.61,2871
7/2/2013,821,830,818,820,-0.12,1279
7/3/2013,820,829,817,829,1.1,1730
7/4/2013,829,850,820,835,0.72,9922
7/7/2013,835,831,816,830,-0.6,1269
7/8/2013,830,849,830,849,2.29,1058
7/9/2013,849,859,842,850,0.12,948
7/10/2013,850,856,854,855,0.59,811
7/11/2013,855,860,845,860,0.58,4129
7/14/2013,860,855,850,850,-1.16,2081
7/15/2013,850,850,836,850,0,435
7/16/2013,850,852,850,852,0.24,108
7/17/2013,852,850,835,850,-0.23,1134
7/18/2013,850,871,840,865,1.76,7711
7/21/2013,865,898,872,894,3.35,5700
7/22/2013,894,877,860,875,-2.13,281
7/23/2013,875,890,855,865,-1.14,1371
7/24/2013,865,860,845,860,-0.58,809
7/25/2013,860,856,848,856,-0.47,1587
7/28/2013,856,860,850,860,0.47,856
7/29/2013,860,869,855,856,-0.47,1853
7/30/2013,856,870,857,865,1.05,3076
7/31/2013,865,883,860,880,1.73,9898
8/1/2013,880,899,870,882,0.23,2220
8/4/2013,882,889,870,875,-0.79,5465
8/5/2013,875,879,863,870,-0.57,2523
8/6/2013,870,871,855,865,-0.57,2252
8/7/2013,865,880,860,866,0.12,3826
8/8/2013,866,867,861,861,-0.58,3781
8/11/2013,861,861,855,857,-0.46,3087
8/12/2013,857,851,840,846,-1.28,4033
8/13/2013,846,844,840,844,-0.24,2800
8/14/2013,844,850,830,850,0.71,1662
8/15/2013,850,850,840,840,-1.18,2578
8/18/2013,840,844,832,832,-0.95,505
8/19/2013,832,845,830,845,1.56,682
8/20/2013,845,850,840,850,0.59,1932
8/25/2013,850,855,840,840,-1.18,1344
8/26/2013,840,846,840,842,0.24,1250
8/27/2013,842,845,841,845,0.36,2839
8/29/2013,845,850,839,847,0.24,3374
9/1/2013,847,845,835,845,-0.24,2092
9/2/2013,845,852,835,842,-0.36,13001
9/3/2013,842,844,840,841,-0.12,6713
9/4/2013,841,841,835,841,0,2611
9/5/2013,841,844,839,840,-0.12,2807
9/8/2013,840,843,838,841,0.12,1556
9/9/2013,841,842,838,838,-0.36,1669
9/10/2013,838,850,839,839,0.12,5070
9/11/2013,839,845,823,845,0.72,2505
9/12/2013,845,846,837,840,-0.59,3122
9/15/2013,840,850,845,850,1.19,4586
9/16/2013,850,851,849,851,0.12,1011
9/17/2013,851,850,840,845,-0.71,1346
9/19/2013,845,860,835,860,1.78,5654
9/22/2013,860,845,837,845,-1.74,5545
9/23/2013,845,844,838,843,-0.24,2213
9/24/2013,843,842,835,840,-0.36,5387
9/25/2013,840,761,735,735,-12.5,239
9/26/2013,735,725,720,725,-1.36,1253
9/29/2013,725,724,706,710,-2.07,2069
9/30/2013,710,714,710,710,0,2261
10/1/2013,710,720,702,720,1.41,1292
10/2/2013,720,720,718,720,0,26
10/3/2013,720,720,715,715,-0.69,603
10/6/2013,715,740,715,740,3.5,506
10/7/2013,740,743,743,743,0.41,213
10/8/2013,743,755,743,755,1.62,798
10/9/2013,755,750,750,750,-0.66,196
10/10/2013,750,794,765,794,5.87,476
10/17/2013,794,790,790,790,-0.5,105
10/20/2013,790,790,778,790,0,1123
10/21/2013,790,802,785,795,0.63,2345
10/22/2013,795,790,790,790,-0.63,115
10/23/2013,790,780,780,780,-1.27,121
10/24/2013,780,780,775,780,0,168
10/27/2013,780,770,735,749,-3.97,1430
10/28/2013,749,750,740,740,-1.2,3235
10/29/2013,740,740,732,732,-1.08,144
10/30/2013,732,760,745,745,1.78,2072
10/31/2013,745,795,755,795,6.71,1277
11/6/2013,795,795,795,795,0,4093
11/11/2013,795,780,773,780,-1.89,2083
11/12/2013,780,785,770,785,0.64,3093
11/13/2013,785,800,785,790,0.64,8015
11/14/2013,790,785,775,784,-0.76,2827
11/24/2013,784,862,799,862,9.95,8542
11/25/2013,862,869,830,840,-2.55,4741
11/26/2013,840,850,834,840,0,3106
11/27/2013,840,845,840,841,0.12,2418
11/28/2013,841,838,828,830,-1.31,3293
12/1/2013,830,836,830,835,0.6,517
12/2/2013,835,851,835,850,1.8,1000
12/3/2013,850,855,845,850,0,1614
12/4/2013,850,915,850,870,2.35,3134
12/5/2013,870,904,855,858,-1.38,5128
12/8/2013,858,875,840,855,-0.35,3255
12/9/2013,855,871,851,865,1.17,2597
12/10/2013,865,870,850,860,-0.58,1199
12/11/2013,860,895,867,895,4.07,18793
12/12/2013,895,913,892,900,0.56,5764
12/15/2013,900,935,900,934,3.78,12070
12/16/2013,934,1027,952,1022,9.42,3956
12/18/2013,1022,1122,1042,1120,9.59,11147
