Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,311,317,310,310,-0.32,4531
3/13/2013,310,324,306,315,1.61,5204
3/14/2013,315,335,321,321,1.9,1953
3/17/2013,321,320,310,315,-1.87,2535
3/18/2013,315,317,305,311,-1.27,2910
3/19/2013,311,312,309,312,0.32,2140
3/20/2013,312,312,306,306,-1.92,849
3/21/2013,306,311,303,308,0.65,2682
3/24/2013,308,302,297,298,-3.25,1359
3/25/2013,298,305,300,305,2.35,693
3/27/2013,305,303,300,300,-1.64,1483
3/28/2013,300,306,294,302,0.67,1586
3/31/2013,302,301,299,301,-0.33,2776
4/1/2013,301,302,295,300,-0.33,2200
4/2/2013,300,307,304,305,1.67,2673
4/3/2013,305,309,302,302,-0.98,2500
4/4/2013,302,303,299,302,0,3144
4/7/2013,302,304,300,301,-0.33,736
4/8/2013,301,305,300,305,1.33,982
4/9/2013,305,311,300,306,0.33,4264
4/11/2013,306,313,305,308,0.65,1547
4/15/2013,308,309,305,308,0,2176
4/16/2013,308,306,301,306,-0.65,6453
4/17/2013,306,304,300,303,-0.98,1216
4/18/2013,303,303,301,302,-0.33,1202
4/21/2013,302,301,295,299,-0.99,2768
4/22/2013,299,295,289,295,-1.34,1405
4/23/2013,295,304,297,299,1.36,5035
4/25/2013,299,300,295,295,-1.34,1650
4/28/2013,295,292,281,282,-4.41,2417
4/29/2013,282,285,280,285,1.06,1118
4/30/2013,285,283,280,283,-0.7,1185
5/2/2013,283,279,274,274,-3.18,1866
5/5/2013,274,276,272,272,-0.73,2181
5/6/2013,272,272,264,272,0,3084
5/7/2013,272,299,277,299,9.93,1917
5/8/2013,299,304,288,296,-1,4220
5/9/2013,296,295,285,285,-3.72,2325
5/12/2013,285,283,277,280,-1.75,3143
5/13/2013,280,293,275,293,4.64,36739
5/14/2013,293,298,289,290,-1.02,1386
5/15/2013,290,301,290,298,2.76,3621
5/16/2013,298,295,290,294,-1.34,1689
5/19/2013,294,295,290,290,-1.36,5174
5/20/2013,290,294,286,290,0,2557
5/21/2013,290,295,288,294,1.38,859
5/22/2013,294,293,282,285,-3.06,6137
5/23/2013,285,288,283,285,0,1440
5/26/2013,285,289,285,289,1.4,944
5/27/2013,289,290,284,290,0.35,3148
5/28/2013,290,295,291,292,0.69,1758
5/30/2013,292,294,292,292,0,623
6/2/2013,292,290,287,288,-1.37,1703
6/3/2013,288,291,288,288,0,1850
6/4/2013,288,290,284,289,0.35,3125
6/5/2013,289,290,280,290,0.35,906
6/6/2013,290,290,286,290,0,942
6/9/2013,290,290,286,290,0,1046
6/10/2013,290,286,281,285,-1.72,1759
6/11/2013,285,290,280,286,0.35,1469
6/12/2013,286,290,290,290,1.4,32
6/13/2013,290,295,288,295,1.72,2046
6/16/2013,295,291,290,291,-1.36,892
6/17/2013,291,289,281,281,-3.44,827
6/18/2013,281,290,286,290,3.2,652
6/19/2013,290,288,285,288,-0.69,922
6/20/2013,288,292,288,290,0.69,4271
6/23/2013,290,286,284,284,-2.07,865
6/24/2013,284,286,282,286,0.7,3722
6/25/2013,286,295,285,295,3.15,1725
6/26/2013,295,305,295,299,1.36,5262
6/27/2013,299,299,289,289,-3.34,1166
6/30/2013,289,291,289,290,0.35,1151
7/1/2013,290,300,288,297,2.41,1738
7/2/2013,297,299,288,293,-1.35,2862
7/3/2013,293,295,290,295,0.68,1109
7/4/2013,295,297,283,290,-1.69,5722
7/7/2013,290,292,289,292,0.69,865
7/8/2013,292,297,287,297,1.71,3543
7/9/2013,297,304,298,300,1.01,2941
7/10/2013,300,305,301,305,1.67,2425
7/11/2013,305,305,298,300,-1.64,1795
7/14/2013,300,308,303,303,1,852
7/15/2013,303,305,298,300,-0.99,2183
7/16/2013,300,305,301,302,0.67,1235
7/17/2013,302,305,300,305,0.99,1262
7/18/2013,305,315,305,315,3.28,5599
7/21/2013,315,335,316,332,5.4,8632
7/22/2013,332,354,330,342,3.01,16489
7/23/2013,342,345,337,339,-0.88,8477
7/24/2013,339,338,325,336,-0.88,10059
7/25/2013,336,342,330,342,1.79,10326
7/28/2013,342,345,334,343,0.29,4932
7/29/2013,343,347,338,342,-0.29,8486
7/30/2013,342,347,340,344,0.58,7131
7/31/2013,344,360,349,355,3.2,15721
8/1/2013,355,360,344,355,0,9378
8/4/2013,355,353,348,348,-1.97,9506
8/5/2013,348,342,331,338,-2.87,10843
8/6/2013,338,344,327,339,0.3,7717
8/7/2013,339,348,340,346,2.06,8497
8/8/2013,346,349,343,349,0.87,22646
8/11/2013,349,369,355,361,3.44,38218
8/12/2013,361,369,355,355,-1.66,14400
8/13/2013,355,360,355,358,0.85,17898
8/14/2013,358,358,353,354,-1.12,6049
8/15/2013,354,357,352,355,0.28,10433
8/18/2013,355,371,345,370,4.23,19191
8/19/2013,370,391,370,387,4.59,18076
8/20/2013,387,404,392,395,2.07,21576
8/25/2013,395,405,394,395,0,14014
8/26/2013,395,410,390,396,0.25,19762
8/27/2013,396,401,383,400,1.01,40422
8/29/2013,400,400,393,400,0,21389
9/1/2013,400,399,395,397,-0.75,6965
9/2/2013,397,395,390,395,-0.5,21059
9/3/2013,395,394,390,392,-0.76,17438
9/4/2013,392,394,386,389,-0.77,5389
9/5/2013,389,395,388,394,1.29,6594
9/8/2013,394,397,392,395,0.25,4829
9/9/2013,395,396,394,396,0.25,5094
9/10/2013,396,393,380,382,-3.54,9457
9/11/2013,382,387,380,384,0.52,2790
9/12/2013,384,388,380,388,1.04,5732
9/15/2013,388,385,380,385,-0.77,4796
9/16/2013,385,382,375,380,-1.3,3155
9/17/2013,380,393,375,393,3.42,2825
9/19/2013,393,386,375,380,-3.31,6040
9/22/2013,380,377,370,372,-2.11,2412
9/23/2013,372,370,363,363,-2.42,3054
9/24/2013,363,372,363,371,2.2,7330
9/25/2013,371,373,368,372,0.27,3361
9/26/2013,372,375,365,367,-1.34,3494
9/29/2013,367,371,365,365,-0.54,2322
9/30/2013,365,369,361,369,1.1,8106
10/1/2013,369,372,364,370,0.27,7281
10/2/2013,370,374,367,373,0.81,2296
10/3/2013,373,383,375,380,1.88,3297
10/6/2013,380,380,374,380,0,1925
10/7/2013,380,385,380,385,1.32,2676
10/8/2013,385,392,389,392,1.82,7417
10/9/2013,392,396,386,388,-1.02,5605
10/10/2013,388,395,390,390,0.52,2208
10/17/2013,390,398,392,392,0.51,399
10/20/2013,392,401,395,400,2.04,12849
10/21/2013,400,405,392,400,0,12388
10/22/2013,400,398,390,390,-2.5,1551
10/23/2013,390,392,390,392,0.51,1124
10/24/2013,392,391,388,390,-0.51,3223
10/27/2013,390,390,383,390,0,2704
10/28/2013,390,395,383,388,-0.51,2319
10/29/2013,388,388,386,387,-0.26,784
10/30/2013,387,393,387,392,1.29,2887
10/31/2013,392,396,390,395,0.77,5697
11/6/2013,395,402,393,394,-0.25,634
11/7/2013,394,395,387,391,-0.76,2024
11/10/2013,391,393,390,393,0.51,2388
11/11/2013,393,407,390,404,2.8,5578
11/12/2013,404,420,400,410,1.49,21927
11/13/2013,410,418,400,416,1.46,25596
11/14/2013,416,413,408,410,-1.44,9592
11/21/2013,410,442,418,442,7.8,281
11/24/2013,442,486,450,460,4.07,25192
11/25/2013,460,474,439,460,0,11761
11/26/2013,460,472,458,458,-0.43,15974
11/27/2013,458,467,455,460,0.44,5518
11/28/2013,460,460,450,455,-1.09,7593
12/1/2013,455,484,464,471,3.52,24214
12/2/2013,471,491,471,491,4.25,20439
12/3/2013,491,510,499,500,1.83,19036
12/4/2013,500,550,510,515,3,14632
12/5/2013,515,561,517,530,2.91,18149
12/8/2013,530,549,520,531,0.19,24817
12/9/2013,531,546,528,545,2.64,14569
12/10/2013,545,554,539,546,0.18,13358
12/11/2013,546,580,550,570,4.4,8005
12/12/2013,570,583,571,580,1.75,14273
12/15/2013,580,635,570,635,9.48,17436
12/16/2013,635,692,647,690,8.66,10066
12/18/2013,690,731,703,710,2.9,13606
12/19/2013,710,700,670,675,-4.93,14344
12/22/2013,675,680,640,671,-0.59,16844
12/23/2013,671,671,639,639,-4.77,12231
12/24/2013,639,675,590,645,0.94,25045
12/26/2013,645,706,657,686,6.36,23814
12/29/2013,686,690,666,675,-1.6,13539
12/31/2013,675,670,653,658,-2.52,13521
1/1/2014,658,661,639,658,0,30824
1/2/2014,658,615,577,600,-8.81,1794
1/5/2014,600,606,581,587,-2.17,1816
1/6/2014,587,592,568,575,-2.04,1613
1/7/2014,575,580,566,580,0.87,4610
1/8/2014,580,601,570,580,0,14172
1/9/2014,580,581,577,577,-0.52,3284
1/12/2014,577,598,580,586,1.56,4556
1/13/2014,586,590,575,590,0.68,5931
1/14/2014,590,602,579,600,1.69,5967
1/16/2014,600,612,595,595,-0.83,7486
1/19/2014,595,590,585,590,-0.84,631
1/20/2014,590,587,578,580,-1.69,5822
1/21/2014,580,591,580,588,1.38,996
1/22/2014,588,587,579,585,-0.51,7673
1/23/2014,585,590,580,589,0.68,2566
1/26/2014,589,590,580,585,-0.68,1590
1/27/2014,585,575,565,570,-2.56,605
1/28/2014,570,581,570,576,1.05,1421
1/29/2014,576,578,568,575,-0.17,1198
2/2/2014,575,590,575,575,0,5265
2/3/2014,575,580,570,571,-0.7,3697
2/4/2014,571,575,568,568,-0.53,7146
2/5/2014,568,585,575,580,2.11,1340
2/6/2014,580,585,565,574,-1.03,21299
2/9/2014,574,576,565,570,-0.7,5065
2/10/2014,570,620,581,601,5.44,3713
2/11/2014,601,600,575,582,-3.16,15906
2/12/2014,582,595,577,577,-0.86,1627
2/13/2014,577,592,580,580,0.52,2363
2/16/2014,580,587,575,587,1.21,1795
2/17/2014,587,602,585,585,-0.34,1826
2/18/2014,585,591,576,588,0.51,2760
2/20/2014,588,604,575,590,0.34,11158
2/23/2014,590,605,590,595,0.85,8792
2/24/2014,595,615,595,595,0,11724
2/25/2014,595,605,590,601,1.01,4557
2/26/2014,601,603,576,590,-1.83,4471
3/3/2014,590,581,570,577,-2.2,2468
3/4/2014,577,575,560,575,-0.35,5896
3/5/2014,575,588,575,581,1.04,3966
3/6/2014,581,585,570,570,-1.89,1382
3/9/2014,570,561,542,542,-4.91,3692
3/10/2014,542,560,541,541,-0.18,7723
3/11/2014,541,550,535,535,-1.11,6132
3/12/2014,535,545,527,545,1.87,4342
3/13/2014,545,568,541,541,-0.73,4483
3/17/2014,541,532,520,525,-2.96,3912
3/18/2014,525,527,516,520,-0.95,14452
3/19/2014,520,544,520,525,0.96,2791
3/20/2014,525,530,520,529,0.76,10417
3/23/2014,529,531,520,531,0.38,6259
3/24/2014,531,542,530,542,2.07,5075
3/25/2014,542,542,535,542,0,3889
3/26/2014,542,545,540,540,-0.37,1683
3/27/2014,540,542,534,537,-0.56,5068
3/31/2014,537,545,531,545,1.49,8164
