Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,1909,1935,1906,1925,0.84,1470
3/13/2013,1925,1948,1910,1923,-0.1,994
3/14/2013,1923,1961,1900,1905,-0.94,2155
3/17/2013,1905,1910,1900,1907,0.1,796
3/18/2013,1907,1905,1870,1890,-0.89,930
3/19/2013,1890,1900,1850,1885,-0.26,1542
3/20/2013,1885,1885,1846,1853,-1.7,2114
3/21/2013,1853,1888,1850,1865,0.65,436
3/24/2013,1865,1870,1830,1870,0.27,1042
3/25/2013,1870,1859,1820,1859,-0.59,1410
3/27/2013,1859,1859,1822,1837,-1.18,1131
3/28/2013,1837,1869,1800,1869,1.74,2312
3/31/2013,1869,1880,1795,1830,-2.09,534
4/1/2013,1830,1830,1794,1830,0,1718
4/2/2013,1830,1845,1805,1845,0.82,1193
4/3/2013,1845,1881,1834,1855,0.54,441
4/4/2013,1855,1837,1800,1805,-2.7,1690
4/7/2013,1805,1810,1800,1810,0.28,85
4/8/2013,1810,1820,1802,1815,0.28,734
4/9/2013,1815,1830,1805,1806,-0.5,1788
4/11/2013,1806,1877,1820,1877,3.93,917
4/15/2013,1877,1914,1839,1839,-2.02,114
4/16/2013,1839,1830,1808,1828,-0.6,1489
4/17/2013,1828,1834,1818,1818,-0.55,1943
4/18/2013,1818,1821,1809,1820,0.11,2177
4/21/2013,1820,1820,1790,1805,-0.82,1175
4/22/2013,1805,1810,1772,1804,-0.06,3113
4/23/2013,1804,1841,1805,1825,1.16,769
4/25/2013,1825,1825,1800,1800,-1.37,5900
4/28/2013,1800,1815,1800,1800,0,1284
4/29/2013,1800,1825,1800,1815,0.83,1608
4/30/2013,1815,1825,1809,1825,0.55,1681
5/2/2013,1825,1810,1790,1800,-1.37,1892
5/5/2013,1800,1809,1760,1770,-1.67,1280
5/6/2013,1770,1750,1721,1725,-2.54,921
5/7/2013,1725,1750,1705,1732,0.41,1748
5/8/2013,1732,1730,1725,1730,-0.12,139
5/9/2013,1730,1760,1730,1760,1.73,384
5/12/2013,1760,1760,1727,1760,0,1687
5/13/2013,1760,1770,1730,1745,-0.85,775
5/14/2013,1745,1750,1745,1750,0.29,812
5/15/2013,1750,1775,1740,1747,-0.17,194
5/16/2013,1747,1775,1745,1755,0.46,309
5/19/2013,1755,1785,1765,1785,1.71,3226
5/20/2013,1785,1830,1765,1815,1.68,4646
5/21/2013,1815,1839,1800,1824,0.5,1410
5/22/2013,1824,1815,1800,1815,-0.49,1776
5/23/2013,1815,1805,1790,1800,-0.83,1260
5/26/2013,1800,1813,1800,1813,0.72,1127
5/27/2013,1813,1819,1810,1810,-0.17,6450
5/28/2013,1810,1820,1810,1810,0,513
5/30/2013,1810,1808,1780,1800,-0.55,1723
6/2/2013,1800,1802,1800,1800,0,2532
6/3/2013,1800,1815,1800,1815,0.83,224
6/4/2013,1815,1800,1800,1800,-0.83,788
6/5/2013,1800,1801,1780,1800,0,887
6/6/2013,1800,1810,1780,1810,0.56,3034
6/9/2013,1810,1818,1804,1818,0.44,524
6/10/2013,1818,1814,1800,1801,-0.94,353
6/11/2013,1801,1814,1800,1806,0.28,189
6/12/2013,1806,1809,1800,1809,0.17,945
6/13/2013,1809,1810,1800,1801,-0.44,678
6/16/2013,1801,1810,1800,1800,-0.06,2606
6/17/2013,1800,1801,1799,1801,0.06,681
6/18/2013,1801,1872,1800,1810,0.5,6546
6/19/2013,1810,1820,1800,1800,-0.55,257
6/20/2013,1800,1808,1789,1802,0.11,2427
6/23/2013,1802,1812,1800,1800,-0.11,691
6/24/2013,1800,1811,1801,1811,0.61,198
6/25/2013,1811,1836,1805,1810,-0.06,1303
6/26/2013,1810,1830,1810,1820,0.55,603
6/27/2013,1820,1810,1805,1810,-0.55,207
6/30/2013,1810,1804,1800,1801,-0.5,592
7/1/2013,1801,1825,1771,1825,1.33,260
7/2/2013,1825,1826,1800,1826,0.05,277
7/3/2013,1826,1809,1800,1803,-1.26,255
7/4/2013,1803,1805,1790,1795,-0.44,2311
7/7/2013,1795,1806,1799,1801,0.33,2293
7/8/2013,1801,1804,1780,1800,-0.06,1477
7/9/2013,1800,1815,1800,1805,0.28,2812
7/10/2013,1805,1825,1800,1817,0.66,1529
7/11/2013,1817,1850,1800,1850,1.82,2227
7/14/2013,1850,1829,1813,1823,-1.46,973
7/15/2013,1823,1837,1820,1820,-0.16,276
7/16/2013,1820,1825,1819,1825,0.27,329
7/17/2013,1825,1825,1825,1825,0,30
7/18/2013,1825,1854,1815,1850,1.37,1496
7/21/2013,1850,1936,1850,1929,4.27,4022
7/22/2013,1929,1979,1930,1955,1.35,2037
7/23/2013,1955,1955,1933,1955,0,777
7/24/2013,1955,1949,1930,1940,-0.77,353
7/25/2013,1940,1935,1930,1930,-0.52,1035
7/28/2013,1930,1940,1920,1940,0.52,337
7/29/2013,1940,1952,1930,1949,0.46,563
7/30/2013,1949,1960,1945,1959,0.51,803
7/31/2013,1959,1960,1930,1940,-0.97,3674
8/1/2013,1940,1962,1915,1927,-0.67,2240
8/4/2013,1927,1960,1905,1905,-1.14,3867
8/5/2013,1905,1916,1910,1912,0.37,706
8/6/2013,1912,1929,1900,1900,-0.63,2640
8/7/2013,1900,1920,1915,1920,1.05,257
8/8/2013,1920,1935,1900,1900,-1.04,741
8/11/2013,1900,1900,1875,1875,-1.32,1909
8/12/2013,1875,1905,1865,1875,0,995
8/13/2013,1875,1901,1870,1870,-0.27,609
8/14/2013,1870,1900,1850,1850,-1.07,1534
8/15/2013,1850,1870,1825,1840,-0.54,557
8/18/2013,1840,1845,1800,1835,-0.27,596
8/19/2013,1835,1840,1821,1840,0.27,1211
8/20/2013,1840,1850,1830,1835,-0.27,1024
8/25/2013,1835,1870,1815,1840,0.27,737
8/26/2013,1840,1850,1825,1825,-0.82,839
8/27/2013,1825,1845,1820,1835,0.55,932
8/29/2013,1835,1861,1826,1826,-0.49,1022
9/1/2013,1826,1845,1825,1840,0.77,1952
9/2/2013,1840,1848,1827,1840,0,884
9/3/2013,1840,1848,1820,1835,-0.27,1193
9/4/2013,1835,1835,1830,1830,-0.27,1308
9/5/2013,1830,1830,1820,1830,0,1006
9/8/2013,1830,1900,1805,1890,3.28,1646
9/9/2013,1890,1890,1870,1870,-1.06,1079
9/10/2013,1870,1870,1840,1840,-1.6,532
9/11/2013,1840,1850,1840,1849,0.49,543
9/12/2013,1849,1853,1835,1835,-0.76,679
9/15/2013,1835,1860,1815,1835,0,1875
9/16/2013,1835,1850,1810,1844,0.49,855
9/17/2013,1844,1840,1805,1830,-0.76,1398
9/19/2013,1830,1825,1765,1795,-1.91,1129
9/22/2013,1795,1800,1740,1740,-3.06,1398
9/23/2013,1740,1730,1710,1715,-1.44,1020
9/24/2013,1715,1740,1700,1735,1.17,1439
9/25/2013,1735,1736,1710,1715,-1.15,1127
9/26/2013,1715,1737,1720,1722,0.41,615
9/29/2013,1722,1722,1690,1695,-1.57,1313
9/30/2013,1695,1700,1666,1666,-1.71,1172
10/1/2013,1666,1716,1640,1682,0.96,532
10/2/2013,1682,1715,1682,1695,0.77,861
10/3/2013,1695,1717,1675,1681,-0.83,3047
10/6/2013,1681,1700,1670,1695,0.83,2553
10/7/2013,1695,1713,1700,1700,0.29,2103
