Date,Open,High,Low,Close,Percent Change,Volume
3/11/2013,236,234,229,234,-0.85,2911
3/13/2013,234,241,233,238,1.71,6332
3/14/2013,238,246,236,236,-0.84,2889
3/17/2013,236,236,229,232,-1.69,5555
3/18/2013,232,232,225,231,-0.43,16207
3/19/2013,231,240,230,234,1.3,4020
3/20/2013,234,231,227,231,-1.28,2859
3/21/2013,231,233,226,230,-0.43,3655
3/24/2013,230,230,216,221,-3.91,4423
3/25/2013,221,226,220,225,1.81,3506
3/27/2013,225,223,221,222,-1.33,2446
3/28/2013,222,226,219,223,0.45,3793
3/31/2013,223,220,214,214,-4.04,4750
4/1/2013,214,219,210,219,2.34,13979
4/2/2013,219,233,222,230,5.02,9189
4/3/2013,230,227,222,223,-3.04,2438
4/4/2013,223,227,222,224,0.45,6370
4/7/2013,224,227,219,226,0.89,2459
4/8/2013,226,229,224,226,0,3881
4/9/2013,226,232,224,231,2.21,4186
4/11/2013,231,235,230,233,0.87,3966
4/15/2013,233,237,230,230,-1.29,4293
4/16/2013,230,232,226,229,-0.43,3771
4/17/2013,229,234,226,230,0.44,5934
4/18/2013,230,230,225,228,-0.87,2597
4/21/2013,228,227,217,220,-3.51,6400
4/22/2013,220,220,212,216,-1.82,3442
4/23/2013,216,224,212,220,1.85,5361
4/25/2013,220,222,216,219,-0.45,2136
4/28/2013,219,217,215,216,-1.37,4764
4/29/2013,216,218,214,216,0,3664
4/30/2013,216,217,213,217,0.46,1623
5/2/2013,217,217,208,217,0,3352
5/5/2013,217,213,207,207,-4.61,4748
5/6/2013,207,214,200,211,1.93,5118
5/7/2013,211,224,208,218,3.32,4285
5/8/2013,218,218,210,211,-3.21,4316
5/9/2013,211,213,209,210,-0.47,2254
5/12/2013,210,212,207,209,-0.48,1549
5/13/2013,209,212,206,212,1.44,3727
5/14/2013,212,218,210,214,0.94,3514
5/15/2013,214,224,211,220,2.8,2861
5/16/2013,220,222,214,222,0.91,4839
5/19/2013,222,219,215,219,-1.35,3008
5/20/2013,219,220,215,218,-0.46,5146
5/21/2013,218,220,216,220,0.92,2817
5/22/2013,220,220,218,220,0,1903
5/23/2013,220,219,215,218,-0.91,6934
5/26/2013,218,220,216,220,0.92,5999
5/27/2013,220,223,216,222,0.91,5015
5/28/2013,222,223,220,221,-0.45,1992
5/30/2013,221,221,215,218,-1.36,846
6/2/2013,218,219,213,217,-0.46,4303
6/3/2013,217,218,214,216,-0.46,1984
6/4/2013,216,217,213,217,0.46,2952
6/5/2013,217,218,216,217,0,967
6/6/2013,217,219,214,219,0.92,1434
6/9/2013,219,219,216,219,0,1151
6/10/2013,219,217,215,216,-1.37,1596
6/11/2013,216,217,215,217,0.46,871
6/12/2013,217,218,216,218,0.46,3380
6/13/2013,218,218,214,217,-0.46,2577
6/16/2013,217,220,215,217,0,2960
6/17/2013,217,217,215,215,-0.92,2082
6/18/2013,215,219,213,213,-0.93,1016
6/19/2013,213,213,205,213,0,1267
6/20/2013,213,212,211,211,-0.94,978
6/23/2013,211,212,207,212,0.47,4035
6/24/2013,212,213,210,213,0.47,1401
6/25/2013,213,220,211,217,1.88,5297
6/26/2013,217,225,217,222,2.3,2793
6/27/2013,222,218,214,218,-1.8,1682
6/30/2013,218,218,215,218,0,878
7/1/2013,218,217,215,215,-1.38,931
7/2/2013,215,218,214,216,0.47,2125
7/3/2013,216,216,214,216,0,881
7/4/2013,216,217,214,216,0,2347
7/7/2013,216,216,214,214,-0.93,3276
7/8/2013,214,219,214,218,1.87,2180
7/9/2013,218,223,214,221,1.38,1808
7/10/2013,221,223,220,221,0,1132
7/11/2013,221,225,216,217,-1.81,970
7/14/2013,217,222,217,218,0.46,375
7/15/2013,218,231,219,231,5.96,440
7/18/2013,231,227,220,227,-1.73,1976
7/21/2013,227,240,226,235,3.52,11352
7/22/2013,235,235,225,232,-1.28,4529
7/23/2013,232,233,226,233,0.43,4616
7/24/2013,233,237,229,231,-0.86,5806
7/25/2013,231,230,228,230,-0.43,3738
7/28/2013,230,234,229,234,1.74,7209
7/29/2013,234,239,233,238,1.71,12983
7/30/2013,238,238,234,237,-0.42,7232
7/31/2013,237,243,235,240,1.27,17803
8/1/2013,240,240,235,236,-1.67,10952
8/4/2013,236,247,238,241,2.12,25977
8/5/2013,241,240,234,234,-2.9,5445
8/6/2013,234,238,226,236,0.85,6657
8/7/2013,236,234,229,233,-1.27,4775
8/8/2013,233,233,228,232,-0.43,4079
8/11/2013,232,232,228,231,-0.43,10173
8/12/2013,231,230,226,227,-1.73,1763
8/13/2013,227,228,223,225,-0.88,5022
8/14/2013,225,227,223,226,0.44,1749
8/15/2013,226,226,222,223,-1.33,2287
8/18/2013,223,232,222,228,2.24,2724
8/19/2013,228,235,227,235,3.07,3677
8/20/2013,235,239,230,235,0,3457
8/25/2013,235,235,230,231,-1.7,3516
8/26/2013,231,232,229,232,0.43,4299
8/27/2013,232,235,230,233,0.43,4618
8/29/2013,233,235,230,235,0.86,7604
9/1/2013,235,231,226,230,-2.13,3701
9/2/2013,230,234,228,234,1.74,2484
9/3/2013,234,230,226,227,-2.99,5937
9/4/2013,227,229,226,227,0,1893
9/5/2013,227,235,225,235,3.52,5262
9/8/2013,235,238,228,230,-2.13,2443
9/9/2013,230,240,229,240,4.35,4015
9/10/2013,240,236,226,230,-4.17,2496
9/11/2013,230,231,226,228,-0.87,5744
9/12/2013,228,230,227,229,0.44,3518
9/15/2013,229,230,225,230,0.44,3687
9/16/2013,230,231,224,230,0,2616
9/17/2013,230,230,227,230,0,4122
9/19/2013,230,231,226,230,0,4486
9/22/2013,230,231,223,227,-1.3,2313
9/23/2013,227,230,223,228,0.44,3676
9/24/2013,228,229,226,228,0,2526
9/25/2013,228,229,225,225,-1.32,1709
9/26/2013,225,226,222,222,-1.33,2334
9/29/2013,222,224,220,224,0.9,1424
9/30/2013,224,225,222,223,-0.45,1415
10/1/2013,223,227,222,227,1.79,1440
10/2/2013,227,226,223,223,-1.76,1027
10/3/2013,223,231,221,231,3.59,2455
10/6/2013,231,230,223,230,-0.43,1424
10/7/2013,230,230,226,230,0,1315
10/8/2013,230,234,228,228,-0.87,789
10/9/2013,228,233,227,230,0.88,748
10/10/2013,230,232,228,232,0.87,458
10/17/2013,232,235,230,232,0,1776
10/20/2013,232,243,235,239,3.02,10527
10/21/2013,239,243,234,241,0.84,6369
10/22/2013,241,238,229,229,-4.98,11700
10/23/2013,229,232,226,228,-0.44,8362
10/24/2013,228,240,226,240,5.26,10661
10/27/2013,240,238,222,225,-6.25,1128
10/28/2013,225,228,225,226,0.44,2644
10/29/2013,226,228,222,226,0,6908
10/30/2013,226,230,225,228,0.88,4073
10/31/2013,228,228,225,226,-0.88,4851
11/6/2013,226,231,228,231,2.21,750
11/7/2013,231,234,228,230,-0.43,3208
11/10/2013,230,238,230,237,3.04,3973
11/11/2013,237,250,233,250,5.49,12642
11/12/2013,250,270,251,263,5.2,28736
11/13/2013,263,272,264,269,2.28,17106
11/14/2013,269,268,260,261,-2.97,14841
11/24/2013,261,287,266,287,9.96,4844
11/25/2013,287,295,285,293,2.09,26329
11/26/2013,293,303,293,293,0,25521
11/27/2013,293,298,285,294,0.34,15446
11/28/2013,294,299,292,296,0.68,12565
12/1/2013,296,307,289,302,2.03,11272
12/2/2013,302,325,296,317,4.97,9309
12/3/2013,317,343,320,330,4.1,4383
12/4/2013,330,363,326,360,9.09,20487
12/5/2013,360,396,358,362,0.56,17111
12/8/2013,362,369,340,362,0,16602
12/9/2013,362,364,355,360,-0.55,3692
12/10/2013,360,357,345,355,-1.39,9308
12/11/2013,355,371,350,362,1.97,8414
12/12/2013,362,375,365,371,2.49,9257
12/15/2013,371,396,361,384,3.5,14121
12/16/2013,384,422,390,422,9.9,4761
12/18/2013,422,454,428,446,5.69,7473
12/19/2013,446,460,402,455,2.02,33706
12/22/2013,455,455,422,436,-4.18,15217
12/23/2013,436,436,398,399,-8.49,12585
12/24/2013,399,420,375,410,2.76,14861
12/26/2013,410,435,402,413,0.73,8589
12/29/2013,413,410,400,406,-1.69,20146
12/31/2013,406,406,400,400,-1.48,9305
1/1/2014,400,392,378,388,-3,4426
1/2/2014,388,410,369,400,3.09,6843
1/5/2014,400,399,379,391,-2.25,6910
1/6/2014,391,399,386,399,2.05,8912
1/7/2014,399,433,388,430,7.77,14941
1/8/2014,430,438,420,421,-2.09,8920
1/9/2014,421,446,429,437,3.8,42550
1/12/2014,437,454,437,448,2.52,16388
1/13/2014,448,455,449,450,0.45,22618
1/14/2014,450,453,443,445,-1.11,13815
1/16/2014,445,465,445,460,3.37,23340
1/19/2014,460,460,450,460,0,9065
1/20/2014,460,463,450,452,-1.74,9018
1/21/2014,452,455,441,450,-0.44,5156
1/22/2014,450,451,433,450,0,10108
1/23/2014,450,451,440,444,-1.33,3738
1/26/2014,444,445,431,441,-0.68,7810
1/27/2014,441,441,430,438,-0.68,2535
1/28/2014,438,449,425,441,0.68,11532
1/29/2014,441,442,433,438,-0.68,6995
2/2/2014,438,435,419,427,-2.51,2736
2/3/2014,427,431,420,431,0.94,6652
2/4/2014,431,435,416,430,-0.23,2641
2/5/2014,430,441,425,441,2.56,6131
2/6/2014,441,449,436,449,1.81,6751
2/9/2014,449,442,430,437,-2.67,4092
2/10/2014,437,460,440,440,0.69,13524
2/11/2014,440,457,435,453,2.95,14861
2/12/2014,453,460,441,460,1.55,9537
2/13/2014,460,460,451,451,-1.96,6135
2/16/2014,451,450,441,450,-0.22,4001
2/17/2014,450,450,443,445,-1.11,4002
2/18/2014,445,460,445,454,2.02,8392
2/20/2014,454,463,455,460,1.32,3514
2/23/2014,460,468,450,465,1.09,9956
2/24/2014,465,482,461,462,-0.65,14496
2/25/2014,462,476,450,476,3.03,8964
2/26/2014,476,483,459,465,-2.31,6866
3/3/2014,465,464,454,462,-0.65,13675
3/4/2014,462,460,441,452,-2.16,15492
3/5/2014,452,462,446,462,2.21,7307
3/6/2014,462,463,449,461,-0.22,10045
3/9/2014,461,461,445,454,-1.52,4774
3/10/2014,454,450,445,448,-1.32,2332
3/11/2014,448,444,434,435,-2.9,5095
3/12/2014,435,438,430,432,-0.69,3439
3/13/2014,432,442,424,440,1.85,4910
3/17/2014,440,432,417,424,-3.64,3081
3/18/2014,424,423,414,421,-0.71,6840
3/19/2014,421,436,413,427,1.43,6833
