Date,Open,High,Low,Close,Percent Change,Volume
1/3/2012,6273,6150,6150,6150,-1.96,10
1/4/2012,6150,6273,6273,6273,2,100
1/5/2012,6273,6148,6148,6148,-1.99,10
1/12/2012,6148,6269,6148,6269,1.97,30
2/8/2012,6269,6144,5669,5669,-9.57,150
2/12/2012,5669,5712,5600,5712,0.76,20
2/13/2012,5712,5600,5488,5488,-3.92,60
2/14/2012,5488,5379,5379,5379,-1.99,10
2/26/2012,5379,5916,5486,5916,9.98,130
2/28/2012,5916,6120,6000,6119,3.43,30
2/29/2012,6119,6119,6119,6119,0,20
3/1/2012,6119,6114,6114,6114,-0.08,10
3/4/2012,6114,6100,6100,6100,-0.23,10
3/11/2012,6100,6100,6100,6100,0,30
3/12/2012,6100,6100,6100,6100,0,20
3/18/2012,6100,6100,6100,6100,0,30
3/19/2012,6100,6300,5978,6300,3.28,70
3/26/2012,6300,6174,6030,6032,-4.25,360
4/2/2012,6032,6032,6032,6032,0,40
4/3/2012,6032,6150,6150,6150,1.96,10
4/5/2012,6150,6050,6050,6050,-1.63,60
4/8/2012,6050,6100,6100,6100,0.83,10
4/19/2012,6100,6222,6222,6222,2,10
4/29/2012,6222,6310,6310,6310,1.41,10
5/17/2012,6310,6436,6436,6436,2,10
5/23/2012,6436,6308,6308,6308,-1.99,50
5/27/2012,6308,6434,6434,6434,2,10
5/29/2012,6434,6306,6210,6306,-1.99,120
6/5/2012,6306,6300,6300,6300,-0.1,20
6/12/2012,6300,6300,6300,6300,0,10
6/13/2012,6300,6300,6300,6300,0,20
6/25/2012,6300,6300,6300,6300,0,40
7/3/2012,6300,6300,6300,6300,0,20
7/16/2012,6300,6426,6426,6426,2,10
7/17/2012,6426,6685,6554,6685,4.03,20
7/24/2012,6685,6600,6600,6600,-1.27,30
8/6/2012,6600,6733,6732,6733,2.02,120
8/7/2012,6733,6810,6810,6810,1.14,10
8/13/2012,6810,7084,6946,7084,4.02,20
8/16/2012,7084,7369,7225,7369,4.02,20
8/19/2012,7369,7500,7500,7500,1.78,10
8/23/2012,7500,7650,7650,7650,2,180
8/27/2012,7650,7854,7700,7854,2.67,30
9/3/2012,7854,7995,7995,7995,1.8,10
9/4/2012,7995,8200,8154,8200,2.56,20
9/9/2012,8200,8280,8200,8280,0.98,20
9/10/2012,8280,8150,8150,8150,-1.57,130
9/16/2012,8150,7987,7828,7828,-3.95,20
9/18/2012,7828,7672,7672,7672,-1.99,10
9/20/2012,7672,7519,7519,7519,-1.99,10
10/2/2012,7519,7500,7369,7500,-0.25,20
10/10/2012,7500,7350,7350,7350,-2,30
11/25/2012,7350,7497,7497,7497,2,20
12/3/2012,7497,7646,7646,7646,1.99,10
12/6/2012,7646,8112,7798,8112,6.09,30
12/18/2012,8112,8923,8274,8923,10,70
