Date,Open,High,Low,Close,Percent Change,Volume
1/13/2019,224,224,224,224,0,51875
1/15/2019,235,258,235,258,9.79,3685
1/16/2019,258,283,258,283,9.69,3690
1/17/2019,283,311,283,311,9.89,57490
1/20/2019,326,342,280,292,-6.11,729258
1/21/2019,292,292,263,263,-9.93,403770
1/22/2019,263,266,237,260,-1.14,217131
1/23/2019,260,286,255,278,6.92,138867
1/24/2019,278,285,270,274,-1.44,122167
1/27/2019,274,279,261,267,-2.55,121117
1/28/2019,267,270,266,267,0,64493
1/29/2019,267,267,258,260,-2.62,95372
1/30/2019,260,260,256,256,-1.54,53226
1/31/2019,256,260,253,258,0.78,57691
2/3/2019,258,258,251,253,-1.94,99156
2/4/2019,251,253,245,246,-2.77,95240
2/5/2019,246,248,240,243,-1.22,104687
2/6/2019,241,243,237,238,-2.06,67848
2/7/2019,236,238,233,238,0,59830
2/10/2019,237,238,229,231,-2.94,59960
2/11/2019,231,237,227,232,0.43,61013
2/12/2019,232,232,230,231,-0.43,38083
2/13/2019,230,232,229,230,-0.43,41724
2/14/2019,227,230,224,228,-0.87,69628
2/17/2019,225,231,225,226,-0.88,45386
2/18/2019,223,226,220,221,-2.21,51862
2/19/2019,223,232,219,232,4.98,57539
2/20/2019,231,233,223,224,-3.45,41490
2/21/2019,222,228,222,225,0.45,32296
2/24/2019,224,226,220,222,-1.33,46222
2/25/2019,220,226,220,224,0.9,35508
2/26/2019,225,225,221,223,-0.45,34122
2/27/2019,224,228,223,224,0.45,26480
3/3/2019,224,225,222,222,-0.89,40964
3/5/2019,222,225,221,224,0.9,34553
3/6/2019,223,226,222,226,0.89,25338
3/7/2019,228,231,225,230,1.77,47328
3/9/2019,230,234,226,230,0,41255
3/10/2019,230,234,226,230,0,41255
3/11/2019,232,238,228,235,2.17,73683
3/12/2019,235,246,234,245,4.26,94823
3/13/2019,244,248,237,239,-2.05,70458
3/14/2019,240,241,235,240,0,57279
3/17/2019,240,246,240,245,2.08,59409
3/18/2019,245,248,242,242,-1.22,36699
3/19/2019,242,245,241,242,0,19638
3/21/2019,242,245,238,240,-0.83,38970
3/24/2019,240,242,235,239,-0.42,41392
3/25/2019,238,241,236,240,0.42,35260
3/26/2019,237,241,237,241,0.42,31029
3/27/2019,241,241,236,240,-0.41,27337
3/28/2019,239,241,238,240,0,24176
3/31/2019,240,241,237,239,-0.42,38545
4/1/2019,239,239,236,238,-0.42,35591
4/2/2019,237,240,237,237,-0.42,30721
4/3/2019,238,240,235,235,-0.84,41796
4/4/2019,234,238,235,237,0.85,45323
4/7/2019,236,237,234,235,-0.84,43463
4/8/2019,235,237,232,235,0,43356
4/9/2019,233,236,232,233,-0.85,19124
4/10/2019,231,235,231,232,-0.43,40755
4/11/2019,232,233,230,232,0,53054
4/15/2019,233,233,226,230,-0.86,31609
4/16/2019,230,234,228,230,0,31491
4/17/2019,230,232,228,229,-0.43,36025
4/18/2019,231,231,227,229,0,23918
4/21/2019,229,229,225,228,-0.44,29902
4/22/2019,230,235,228,230,0.88,39434
4/23/2019,234,234,229,230,0,19172
4/24/2019,228,232,227,228,-0.87,34195
4/25/2019,228,231,227,227,-0.44,59996
4/28/2019,228,244,228,237,4.41,89256
4/29/2019,239,240,231,238,0.42,35542
4/30/2019,239,249,233,244,2.52,156692
5/2/2019,247,247,237,242,-0.82,58023
5/5/2019,239,241,234,236,-2.48,33682
5/6/2019,235,236,231,236,0,34550
5/7/2019,238,238,233,238,0.85,40464
5/8/2019,240,240,232,234,-1.68,26687
5/9/2019,233,240,232,234,0,22988
